time_s,command_frequency_Hz,command_electrical_angle_rad,mechanical_angle_raw_rad,rotor_angle_unwrapped_rad,phase_error_rad,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,48.0,-24.0,-24.0
0.0005,166.666667,0.5235987766454964,3.4545147456032745e-05,3.4545147456032745e-05,0.5235642314980403,4.081879176076604,-4.081879176076604,0.0,4.884223201992174e-06,-0.08227243118617866,0.08227216339326268,0.20608149669147297,1.6296759574482158,1.0,-1.0,0.0,48.0,-24.123405936874754,-23.87659406312525
0.001,166.666667,1.0471975532909927,0.0002716339399758159,0.0002716339399758159,1.046925919351017,7.880395113187738,-7.880395090426297,-2.2761441687873666e-08,0.0001501159178831658,-0.3215832012187241,0.32157497065800045,0.8055141465356029,3.1475370809787906,1.0,0.0,-1.0,0.0,48.0,-48.0
0.0015,166.666667,1.5707963299364893,0.0007965803585182217,0.0007965803585182217,1.5699997495779712,10.08285971645416,-4.56573408204907,-5.51712563440509,0.0006271292855579466,-0.45812941644540983,0.45809503273255614,1.1475120545548845,-0.37415511158577486,1.0,0.0,-1.0,0.0,48.0,-48.0
0.002,166.666667,2.0943951065819855,0.0012772509338037806,0.0012772509338037806,2.0931178556481815,12.139863297086329,-1.4762647037301404,-10.663598593356188,0.0005594006300203929,-0.2548684153147471,0.2548377458484619,0.6383741066260071,-3.6568574933284568,0.0,1.0,-1.0,-48.0,48.0,0.0
0.0025,166.666667,2.617993883227482,0.0013034512163163671,0.0013034512163163671,2.6166904320111657,8.61543183974129,4.069959466404648,-12.68539130614594,-0.0005898613870951089,0.2633449139735754,-0.2633125745412357,-0.6596045512989709,-6.681191405041825,0.0,1.0,-1.0,-48.0,48.0,0.0
0.003,166.666667,3.1415926598729786,0.0004974931112977969,0.0004974931112977969,3.141095166761681,5.323835907023065,9.136561355863506,-14.460397262886572,-0.0009141473087373952,1.0692620706830929,-1.0692119500327464,-2.6783008457450572,-9.418561525603725,-1.0,1.0,0.0,-48.0,0.0,48.0
0.0035,166.666667,3.665191436518475,-0.0014134885940497303,-0.0014134885940497303,-2.6165803820670623,-0.4735235304400085,10.99566906558456,-10.522145535144551,0.00478197944038385,1.9684717665961582,-1.9687339386543714,-4.931096318218273,-8.589916322797642,-1.0,1.0,0.0,-48.0,0.0,48.0
0.004,166.666667,4.188790213163971,-0.004397367466932115,-0.004397367466932115,-2.089997726548683,-5.889342897394032,12.586950075576718,-6.697607178182686,0.021018522856415194,2.7806150052666276,-2.781766772695433,-6.9665245704204155,-7.680566906261321,-1.0,0.0,1.0,0.0,-48.0,48.0
0.0045,166.666667,4.712388989809467,-0.00827175419809254,-0.00827175419809254,-1.5625245631720273,-8.227263109506364,8.507996159048526,-0.28073304954216205,0.047424872098475825,3.3342682380735598,-3.3368633540008568,-8.355162155653137,-3.4606787694466172,-1.0,0.0,1.0,0.0,-48.0,48.0
0.005,166.666667,5.235987766454964,-0.012580968071658925,-0.012580968071658925,-1.0346165726529633,-10.414075704226718,4.64131754633205,5.772758157894669,0.07525503326923827,3.4770871327419655,-3.481194511925418,-8.71479870665446,0.5440791315792894,0.0,-1.0,1.0,48.0,-48.0,0.0
0.0055,166.666667,5.75958654310046,-0.016826057102256577,-0.016826057102256577,-0.5067727069768699,-7.013600819348835,-1.68241020724382,8.696011026592656,0.09372016234939813,3.2359823156988496,-3.2410791718777396,-8.112100574899623,4.2265286760166125,0.0,-1.0,1.0,48.0,-48.0,0.0
