time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,phase_a_power_W,phase_b_power_W,phase_c_power_W,electrical_conversion_power_W,speed_rad_s,electromagnetic_torque_Nm,mechanical_power_W,power_residual_W
0.0,0.0,0.0,0.0,0.0,-119.76664369760206,119.76664369760206,0.0,-0.0,0.0,0.0,300.0,0.0,0.0,0.0
0.0005,0.0,-5.180633005975232,5.180633005975232,32.41030166482633,-119.89113751148693,119.07127325172681,0.0,621.1119841159244,616.8645682713917,1237.9765523873161,299.02221616314876,4.140082192795558,1237.9765523873161,0.0
0.001,0.0,-5.749016197461416,5.749016197461416,69.84500922805694,-119.46188373078716,120.60068580563204,0.0,686.7883045475478,693.3352961215337,1380.1236006690815,298.535297283576,4.622982988032113,1380.1236006690815,0.0
0.0015,0.0,-4.081736598079754,4.081736598079754,102.70057070262291,-119.11890647434828,118.9558568596988,0.0,486.21200007958674,485.54647450016915,971.7584745797559,298.04643463814807,3.2604264357651096,971.7584745797558,1.1368683772161603e-13
0.002,4.973759535476417,-4.973759535476417,0.0,118.62048029983885,-118.86973211880463,102.79939738030326,589.989744994116,591.2294636054319,0.0,1181.219208599548,297.4236523619373,3.9715039446900224,1181.2192085995478,2.2737367544323206e-13
0.0025,5.589571494854613,-5.589571494854613,0.0,119.98392699094495,-118.81717028314233,70.07155003642998,670.6587381493028,664.137068113939,0.0,1334.795806263242,296.93580351731555,4.495233617677918,1334.795806263242,0.0
0.003,4.074757596582749,-4.074757596582749,0.0,118.06347528201293,-118.85965574304284,32.934676753283,481.08004278434186,484.3242851661742,0.0,965.4043279505161,296.44828712208056,3.256569087724067,965.4043279505162,-1.1368683772161603e-13
0.0035,4.883229893718973,-4.883229893718973,0.0,118.11425142430018,-118.17037514840493,1.0243777005762247,576.7790434293813,577.0531084766766,0.0,1153.8321519060578,295.931261353164,3.8989870371588626,1153.832151906058,-2.2737367544323206e-13
0.004,5.71665497451928,-5.71665497451928,0.0,118.45218913148071,-117.61452718605344,-30.417731800851396,677.1502962411778,672.3616719138854,-0.0,1349.5119681550632,295.43964293322097,4.567809366260631,1349.5119681550632,0.0
0.0045000000000000005,4.305188692011712,-4.305188692011712,0.0,118.04109051857219,-119.03722046692256,-66.81434858502968,508.18916809328795,512.4776954827001,-0.0,1020.6668635759881,294.941307719968,3.460576178583504,1020.6668635759881,0.0
