scenario,time_points,tail_electrical_power_W,tail_mechanical_power_W,residual_rms_W,max_abs_residual_W,tail_torque_Nm,tail_speed_rad_s,result
nominal_load,601,1094.15340458674,1094.15340458674,1.3919875339570618e-13,4.547473508864641e-13,2.9936141735092274,365.4961282790869,PASS
overload,601,114.58028778806623,114.58028778806623,7.117208687746714e-14,4.547473508864641e-13,4.00975883629833,28.48278898579275,PASS
regenerative_braking,501,-476.29200686607845,-476.29200686607845,9.62027038501909e-14,2.2737367544323206e-13,-3.983245195291155,119.55891254714284,PASS
