time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,phase_a_power_W,phase_b_power_W,phase_c_power_W,electrical_conversion_power_W,speed_rad_s,electromagnetic_torque_Nm,mechanical_power_W,power_residual_W
0.0,0.0,0.0,0.0,0.0,-119.76664369760206,119.76664369760206,0.0,-0.0,0.0,0.0,300.0,0.0,0.0,0.0
0.0002,0.0,4.444591788038749,-4.444591788038749,12.450728857162032,-119.93293735540921,119.31869834845895,0.0,-533.0529484852175,-530.3229068390333,-1063.3758553242508,299.63930823034906,-3.5488529912997127,-1063.3758553242508,0.0
0.0004,0.0,4.406517694594088,-4.406517694594088,25.52321834492335,-119.95244525269696,119.06729575018953,0.0,-528.5725725158378,-524.6721455706776,-1053.2447180865154,299.24107954128914,-3.5197196845468177,-1053.2447180865154,0.0
0.0006000000000000001,0.0,4.3645719737752655,-4.3645719737752655,39.58708043075312,-119.80839599033602,119.19944312783062,0.0,-522.9123673623895,-520.2545487653482,-1043.1669161277377,298.84267597423406,-3.490689248873138,-1043.1669161277375,-2.2737367544323206e-13
0.0008,0.0,4.327043037320694,-4.327043037320694,54.52468940685146,-119.55204189238493,119.7281258012389,0.0,-517.3068304679161,-518.0687531197069,-1035.3755835876232,298.44348168530627,-3.4692517917994765,-1035.375583587623,-2.2737367544323206e-13
0.001,0.0,4.300642775364031,-4.300642775364031,69.71439524681566,-119.26498017035641,120.40102165924762,0.0,-512.9160753235776,-517.8017839452914,-1030.717859268869,298.04293465782877,-3.4582865064464463,-1030.717859268869,0.0
0.0012000000000000001,0.0,4.281541530858796,-4.281541530858796,84.18396211266017,-119.00932205502055,120.66684281284252,0.0,-509.5433549379201,-516.6400989007955,-1026.1834538387156,297.6412429719603,-3.447719286454493,-1026.1834538387154,-2.2737367544323206e-13
0.0014,0.0,4.24597054227263,-4.24597054227263,96.87811163009061,-118.80450360769163,119.74597775461365,0.0,-504.44042260758107,-508.4378941017232,-1012.8783167093043,297.24019820380425,-3.4076088053703257,-1012.8783167093043,0.0
0.0016,0.0,4.144491822629627,-4.144491822629627,106.94859453712768,-118.63570656613766,116.80019411644327,0.0,-491.68471573524545,-484.0774493971522,-975.7621651323976,296.84372714623873,-3.287124085501368,-975.7621651323976,0.0
0.0018000000000000002,-2.7851865212013562,5.295515648515591,-2.510329127314235,113.96841286852805,-118.47631121679287,111.15205655562836,-317.4232873641355,-627.3931600269299,-279.02824513247305,-1223.8446925235385,296.4459542333776,-4.128390605594383,-1223.8446925235387,2.2737367544323206e-13
0.002,-4.313529135982986,4.313529135982986,0.0,118.01133280117324,-118.30955203671662,102.49163601680948,-509.04532241404536,-510.3316997754724,0.0,-1019.3770221895177,296.022389324861,-3.443580820067068,-1019.3770221895178,1.1368683772161603e-13
0.0022,-4.219427535170069,4.219427535170069,0.0,119.6266670767631,-118.17233147394265,91.02658781555859,-504.7560530043169,-498.61958931639816,0.0,-1003.3756423207151,295.62407382403103,-3.3940931445182985,-1003.3756423207151,0.0
0.0024000000000000002,-4.141838257076749,4.141838257076749,0.0,119.59861668659691,-118.07744263702975,77.4078180919754,-495.35812608600475,-489.0576692118351,0.0,-984.4157952978398,295.2239966820546,-3.3344707962815763,-984.41579529784,1.1368683772161603e-13
0.0026000000000000003,-4.0455564478370345,4.0455564478370345,0.0,118.7637361254052,-118.0290550123111,62.60840194277442,-480.4653984513492,-477.49320453716723,0.0,-957.9586029885164,294.8250518450882,-3.2492442449967336,-957.9586029885164,0.0
0.0028,-4.643279158235403,4.643279158235403,0.0,117.80078753673479,-117.99044681567966,47.65524019742202,-546.9819415930375,-547.8625825701282,0.0,-1094.8445241631657,294.42754453175826,-3.718553323210121,-1094.8445241631655,-2.2737367544323206e-13
0.003,-5.84102857106963,5.84102857106963,0.0,117.11478572846849,-117.8886892876153,33.35693661348729,-684.0708095346822,-688.5912023349113,0.0,-1372.6620118695935,294.02643872813326,-4.668498580628673,-1372.6620118695935,0.0
0.0032,-5.84519302378292,5.84519302378292,0.0,116.82859635069359,-117.653246900497,20.104964683948392,-682.8856963674249,-687.7059380081945,0.0,-1370.5916343756194,293.6219269385054,-4.667879026155525,-1370.5916343756194,0.0
0.0034000000000000002,-5.65622640294268,5.65622640294268,0.0,116.8547923863535,-117.26479055594126,7.808592707695443,-660.957162006078,-663.2762044780584,0.0,-1324.2333664841362,293.2183195925615,-4.516202699490984,-1324.2333664841362,0.0
0.0036000000000000003,-5.457171313443891,5.457171313443891,0.0,117.00731885275104,-116.78983675510025,-4.012285280992517,-638.5289839062156,-637.3421468417281,-0.0,-1275.8711307479437,292.81576718508364,-4.357248733608966,-1275.8711307479434,-2.2737367544323206e-13
0.0038,-5.248699012043474,5.248699012043474,0.0,117.11226275010776,-116.38213047374107,-16.007811716292803,-614.6870177946663,-610.8547732370395,-0.0,-1225.5417910317058,292.4144206124339,-4.191112697058259,-1225.541791031706,2.2737367544323206e-13
0.004,-5.032673347386515,5.032673347386515,0.0,117.0751318764527,-116.23000735923259,-28.72769518202047,-589.2008958363849,-584.9476602033484,-0.0,-1174.1485560397332,292.01434901294556,-4.0208591119187815,-1174.1485560397334,2.2737367544323206e-13
0.004200000000000001,-4.814708896597387,4.814708896597387,0.0,116.89371486899172,-116.45960236026573,-42.388204455569834,-562.8092089360528,-560.7190835781655,-0.0,-1123.5282925142183,291.61535426019117,-3.8527748148396883,-1123.528292514218,-2.2737367544323206e-13
0.0044,-4.602933958979656,4.602933958979656,0.0,116.62765793023321,-117.02489275651884,-56.75170844761888,-536.8294072433334,-538.657852914933,-0.0,-1075.4872601582665,291.2169498434928,-3.693079200013117,-1075.4872601582665,0.0
0.0046,-4.4022541892173725,4.4022541892173725,0.0,116.3504286763381,-117.62852415879485,-71.15513857243151,-512.2041620576465,-517.8306632495115,-0.0,-1030.034825307158,290.8186882534459,-3.541845372775672,-1030.034825307158,0.0
0.0048000000000000004,-4.2057618992071095,4.2057618992071095,0.0,116.11044745675753,-117.71373435656552,-84.67438347928935,-488.3328960135198,-495.0759389702302,-0.0,-983.40883498375,290.42087589414814,-3.3861506407073176,-983.4088349837501,1.1368683772161603e-13
0.005,-4.100274156595747,4.100274156595747,0.0,115.9175663321039,-116.54683162806349,-96.36851146183889,-475.29380152699883,-477.8739617576645,-0.0,-953.1677632846634,290.02548052492705,-3.2864966262946704,-953.1677632846634,0.0
0.005200000000000001,-5.973408181169221,5.973408181169221,0.0,115.75067788724776,-113.37365199992406,-105.52084129944772,-691.4260462675691,-677.2271003853787,-0.0,-1368.6531466529477,289.62553918390716,-4.725595506906857,-1368.6531466529475,-2.2737367544323206e-13
0.0054,-5.409794535589445,1.1009714787689795,4.308823056820465,115.59380769724997,-107.62743676369934,-111.82021748603306,-625.33874922856,-118.49473820984488,-481.8135313224982,-1225.647018760903,289.2334554199061,-4.237570017553888,-1225.6470187609032,2.2737367544323206e-13
0.0056,-5.703717046602778,0.0,5.703717046602778,115.43624039656319,-99.08182941660368,-115.395349971376,-658.4156521456136,-0.0,-658.1824247304307,-1316.5980768760444,288.83103901719966,-4.558367692599832,-1316.5980768760446,2.2737367544323206e-13
0.0058000000000000005,-5.765977336089893,0.0,5.765977336089893,115.29647155537901,-87.96004119572164,-116.763349987789,-664.7968419194484,-0.0,-673.2548297155234,-1338.0516716349719,288.4226726113945,-4.63920419126617,-1338.0516716349719,0.0
0.006,-5.507077471163733,0.0,5.507077471163733,115.19819600726204,-74.89560114457373,-116.66003089345945,-634.4053899502967,-0.0,-642.4558279186356,-1276.8612178689323,288.01516336764587,-4.433312478895576,-1276.8612178689323,0.0
0.006200000000000001,-5.230877546451091,0.0,5.230877546451091,115.14315186386364,-60.78157823777492,-115.84097925258614,-602.2997277122923,-0.0,-605.9499773312596,-1208.2497050435518,287.6101587883838,-4.200998011104855,-1208.2497050435518,0.0
0.0064,-4.925544139112868,0.0,4.925544139112868,115.097118256014,-46.54742682471359,-114.91546235385673,-566.9159362546905,-0.0,-566.0211820904844,-1132.937118345175,287.2087402449664,-3.944647079259736,-1132.937118345175,0.0
0.0066,-4.593600922589714,0.0,4.593600922589714,114.99575536159604,-32.92437239009295,-114.25023710193518,-528.2446079229287,-0.0,-524.819994557543,-1053.0646024804719,286.8114569479626,-3.6716266975050917,-1053.0646024804716,-2.2737367544323206e-13
0.0068000000000000005,-4.243023486688925,0.0,4.243023486688925,114.77457024081107,-20.273022983935206,-113.959862410832,-486.9911972063891,-0.0,-483.5343727489985,-970.5255699553876,286.4184452031841,-3.3884883680131033,-970.5255699553877,1.1368683772161603e-13
0.007,-4.83969201484187,0.0,4.83969201484187,114.41093178452522,-8.5265154150501,-113.96812186670681,-553.7136729681846,-0.0,-551.570609344826,-1105.2842823130106,286.0279662679056,-3.8642524950785964,-1105.2842823130106,0.0
0.007200000000000001,-5.790010528694492,0.0,5.790010528694492,113.95182292748143,2.7330903657490335,-114.1008390273235,-659.782254514048,0.0,-660.6450593010785,-1320.4273138151266,285.62123405943106,-4.623001221051991,-1320.4273138151264,-2.2737367544323206e-13
0.0074,-5.40245389502157,0.0,5.40245389502157,113.53754653358877,14.090435188103315,-114.20275942859655,-613.3813605015794,0.0,-616.9751424972328,-1230.3565029988122,285.2153530017808,-4.313780762675599,-1230.356502998812,-2.2737367544323206e-13
0.0076,-5.007816614571237,0.0,5.007816614571237,113.34059360990456,26.066803775296606,-114.17995553630239,-567.5889077850466,0.0,-571.7922783857001,-1139.3811861707468,284.8138489543891,-4.000441658134435,-1139.3811861707468,0.0
0.0078000000000000005,-4.610889167766894,0.0,4.610889167766894,113.48954613164331,38.91025999057068,-114.01997496526296,-523.2877189131754,0.0,-525.7334674763835,-1049.0211863895588,284.41664576128267,-3.688325567519793,-1049.0211863895588,0.0
0.008,-4.21922021772783,0.0,4.21922021772783,113.97497973153719,52.47558212569404,-113.77073043917568,-480.8855387984214,0.0,-480.0237660546331,-960.9093048530544,284.0233082761628,-3.383205803372795,-960.9093048530546,1.1368683772161603e-13
0.0082,-5.1294828300680235,0.0,5.1294828300680235,114.57288052711013,66.22691324935748,-113.49843909328516,-587.6996234552464,0.0,-582.1882945685276,-1169.887918023774,283.63009309118434,-4.124696026693001,-1169.8879180237739,-2.2737367544323206e-13
0.008400000000000001,-5.74504243267166,0.0,5.74504243267166,114.81940446586319,79.3562772591258,-113.24655081303747,-659.642350750474,0.0,-650.6062397746076,-1310.2485905250815,283.2190854543021,-4.626272231701321,-1310.2485905250815,0.0
0.0086,-5.352212663707501,0.0,5.352212663707501,114.08620999397793,90.99865085442609,-113.039606739011,-610.613657884162,0.0,-605.0120146890505,-1215.6256725732123,282.81061768487103,-4.298373528280167,-1215.6256725732126,2.2737367544323206e-13
0.0088,-4.9082347340113515,0.0,4.9082347340113515,111.6834424316625,100.43766594739698,-112.86737566482834,-548.168551357043,0.0,-553.979573574818,-1102.148124931861,282.40946883854133,-3.9026599549393275,-1102.148124931861,0.0
0.009000000000000001,-4.219823763856582,-0.262696673855028,4.48252043771161,107.03180537575925,107.2775363065354,-112.71146307992421,-451.65535581310155,-28.18145196708885,-505.2314368201379,-985.0682446003283,282.0214244755677,-3.4928844375284953,-985.0682446003283,0.0
0.0092,0.0,-4.49840745224956,4.49840745224956,99.80623071192294,111.50148554206653,-112.54772445042593,0.0,-501.5791134993286,-506.285522401526,-1007.8646359008546,281.6092895734146,-3.57894669393748,-1007.8646359008548,1.1368683772161603e-13
0.0094,0.0,-4.033297767024268,4.033297767024268,90.0861707608058,113.49105984799611,-112.40452583104675,0.0,-457.7432382621403,-453.3609230377825,-911.1041612999229,281.21941993580015,-3.239833726660555,-911.1041612999229,0.0
0.009600000000000001,0.0,-5.890535807579087,5.890535807579087,78.3044283131321,113.84329159512902,-112.28735203995022,0.0,-670.5979855937748,-661.4326679295655,-1332.0306535233403,280.8152784175518,-4.7434408164313195,-1332.03065352334,-2.2737367544323206e-13
0.0098,0.0,-5.439575601467242,5.439575601467242,65.20059567547331,113.25621614005479,-112.20974505945425,0.0,-616.0657500299425,-610.3733914722667,-1226.4391415022092,280.40432794098956,-4.373823865373113,-1226.4391415022092,0.0
0.01,0.0,-4.9642007375427495,4.9642007375427495,51.63091470270431,112.35506842355896,-112.16008241671297,0.0,-557.7531135348975,-556.785163855902,-1114.5382773907995,280.0003174055903,-3.9804893355758297,-1114.5382773907995,0.0
0.0102,0.0,-4.462084461030354,4.462084461030354,38.35804761481192,111.57321230070659,-112.09027126621784,0.0,-497.8490968742236,-500.15625764966785,-998.0053545238915,279.6042499473082,-3.5693497316724154,-998.0053545238915,0.0
0.010400000000000001,0.0,-4.393291829305411,4.393291829305411,25.87663213444976,111.11631358958374,-111.93752395108089,0.0,-488.166392595656,-491.7742093669624,-979.9406019626184,279.21621979167344,-3.5096120228751886,-979.9406019626183,-1.1368683772161603e-13
