time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad,hall_a,hall_b,hall_c,hall_code,hall_decoded_sector,hall_transition_class,hall_legal_event,hall_direction,hall_enable,hall_fault
0.0394,-8.736868029769996,12.987843951258725,-4.250975921488729,26.529172559527748,19.111335936424776,-26.16826463078632,65.45359015944864,1.9506009035161518,0.0,1.0,-1.0,0.0,48.0,-48.0,2.464847201093502,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
0.0396,-8.77601737023452,12.855973329015123,-4.079955958780604,26.58743747990399,19.81331636099433,-26.243842449156297,65.64908134602601,1.9567886144096254,0.0,1.0,-1.0,0.0,48.0,-48.0,2.477957457927698,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
0.0398,-8.802125079249638,12.694941336324511,-3.8928162570748728,26.628744876291467,20.49786978533848,-26.31987604648872,65.84446012391939,1.948351500740891,0.0,1.0,-1.0,0.0,48.0,-48.0,2.491106826139654,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
0.04,-8.815129464275614,12.505980305269844,-3.6908508409942304,26.650088715949742,21.16199019362506,-26.395742521803292,66.03826762569886,1.925401791612793,0.0,1.0,-1.0,0.0,48.0,-48.0,2.5042951371739184,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
0.0402,-8.814885218889087,12.29037163607535,-3.475486417186263,26.64845430437694,21.802749490395733,-26.470816292159984,66.22906820118725,1.888291559027482,0.0,1.0,-1.0,0.0,48.0,-48.0,2.5175219326233704,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
0.0404,-8.801164062468724,12.049439920528938,-3.2482758580602145,26.62086649502115,22.417349697969776,-26.544482061880867,66.41547328569914,1.8376093561320141,0.0,1.0,-1.0,0.0,48.0,-48.0,2.530786471265087,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
0.0406,-8.773656753014428,11.784545646379144,-3.010888893364715,26.564440683858013,23.00317529235985,-26.616147855143815,66.59616461498689,1.7741704720200926,0.0,1.0,-1.0,0.0,48.0,-48.0,2.544087740815185,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
0.0408,-8.7319765492594,11.497076604938991,-2.765100055679592,26.47643536364155,23.557844085333524,-26.685257708191585,66.76991614032363,1.6990006806257332,0.0,1.0,-1.0,0.0,48.0,-48.0,2.5574244742074965,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
0.041,-8.675664163386372,11.188438175737218,-2.512774012350846,26.354304833139377,24.079254983290458,-26.75130359731488,66.93561399797892,1.6133136268180226,0.0,1.0,-1.0,0.0,48.0,-48.0,2.570795170071318,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
0.0412,-8.604194205225998,10.860042710662286,-2.255848505436289,26.195750531507827,24.565630959095092,-26.81383617683115,67.09227391571491,1.5184822755880716,0.0,1.0,-1.0,0.0,48.0,-48.0,2.5841981169566735,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0
