time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad
0.0,0.0,0.0,0.0,0.0,-11.976664369760206,11.976664369760206,30.0,0.0,1.0,0.0,-1.0,41.96499655464031,6.035003445359692,-48.0,0.0
0.0002,2.0808579796146325,0.0,-2.0808579796146325,0.12327780664551394,-11.963493586196634,11.956741465513561,29.958552207784184,-0.8219274786796041,1.0,0.0,-1.0,42.00350322227617,5.996496777723831,-48.0,0.005997225070794252
0.0004,4.100111001875347,0.0,-4.100111001875347,0.24529481665388356,-11.918289435521643,11.904895676801926,29.837002202699722,-1.6022272425157607,1.0,0.0,-1.0,41.99338468224955,6.006615317750452,-48.0,0.011978080979634658
0.0006,6.058405022284488,0.0,-6.058405022284488,0.36487249408210753,-11.84264056367082,11.822819274041075,29.639456316543,-2.34204303801711,1.0,0.0,-1.0,41.936486447732406,6.063513552267597,-48.0,0.017926959823778628
0.0008,7.956465842431196,0.0,-7.956465842431196,0.48092258282089867,-11.738093571468438,11.712153103301043,29.369902257439303,-3.042601273282623,1.0,0.0,-1.0,41.834631414529404,6.165368585470603,-48.0,0.023829063242204025
0.001,9.79509196540934,0.0,-9.79509196540934,0.5924468401156197,-11.606150663273214,11.57448253824098,29.032201515480423,-3.7051978153702274,1.0,0.0,-1.0,41.68961535245151,6.310384647548485,-48.0,0.02967037790943861
0.0012,11.575147537338866,0.0,-11.575147537338866,0.6985360768782106,-11.448267530511547,11.411334119725714,28.630083021245227,-4.331186109088746,1.0,0.0,-1.0,41.50320262881351,6.496797371186489,-48.0,0.035437649638007815
0.0014,13.29755541618391,0.0,-13.29755541618391,0.7983687244879687,-11.26585143628691,11.22417285618115,28.167137932906158,-4.921966460692701,1.0,0.0,-1.0,41.27712222662147,6.722877773378531,-48.0,0.04111835632738646
0.0016,14.963290400244736,0.0,-14.963290400244736,0.8912090950436352,-11.06025948282882,11.014400153511257,27.646815443025677,-5.478976336250115,1.0,0.0,-1.0,41.01306410710627,6.986935892893733,-48.0,0.046700679974031566
0.0018,16.573372641707525,0.0,-16.573372641707525,0.97640545500282,-10.832797055861294,10.783352338943947,27.072419510574232,-6.003681537274658,1.0,0.0,-1.0,40.71267595283468,7.287324047165324,-48.0,0.05217347793675818
0.002,18.12886126519078,0.0,-18.12886126519078,1.0533879921533817,-10.584716448935902,10.532299738839763,26.4471064366133,-6.497568133305018,1.0,0.0,-1.0,40.37756031443247,7.622439685567532,-48.0,0.05752625363414647
0.0022,19.630848207041872,0.0,-19.630848207041872,1.121666723548595,-10.317215676538828,10.262446266612756,25.7738832131648,-6.962135050424647,1.0,0.0,-1.0,40.0092721716195,7.9907278283805,-48.0,0.06274912683549663
0.0024,21.080452287927965,0.0,-21.080452287927965,1.1808293674567802,-10.031437487673598,9.974929473751942,25.05560658389685,-7.398887234490775,1.0,0.0,-1.0,39.60931690827796,8.390683091722043,-48.0,0.06783280369369658
0.0026,22.478813528773635,0.0,-22.478813528773635,1.2305391851034482,-9.728468592090811,9.670821014704549,24.29498276242468,-7.809329326684583,1.0,0.0,-1.0,39.17914869199481,8.820851308005192,-48.0,0.0727685466568418
0.0028,23.82708771809713,0.0,-23.82708771809713,1.270532787244095,-9.409339109893503,9.351127475216112,23.494567759400365,-8.194959805875268,1.0,0.0,-1.0,38.72016924112361,9.279830758876397,-48.0,0.07754814438517206
0.003,25.12644123710271,0.0,-25.12644123710271,1.3006178953928171,-9.075022252416565,9.016791513666929,22.656768273379534,-8.557265566539119,1.0,0.0,-1.0,38.23372695694644,9.766273043053559,-48.0,0.08216388179052904
0.0032,26.378046147356194,0.0,-26.378046147356194,1.3206710467226717,-8.726434238561154,8.668693265971282,21.783843102990197,-8.89771691224367,1.0,0.0,-1.0,37.72111639490812,10.27888360509187,-48.0,0.08660851030680992
0.0034,27.583075544402213,0.0,-27.583075544402213,1.3306352341039502,-8.364434446608858,8.307651966624192,20.87790503949179,-9.217762952922632,1.0,0.0,-1.0,37.183578046972926,10.816421953027078,-48.0,0.09087521849156703
0.0036,28.74269917921353,0.0,-28.74269917921353,1.330517477368367,-7.989825797324149,7.934427741349981,19.940923199701707,-9.518827399474842,1.0,0.0,-1.0,36.62229840668332,11.377701593316676,-48.0,0.09495760305081763
0.0038,29.858079347860343,0.0,-29.858079347860343,1.3203863277051282,-7.60335536017865,7.549723530352763,18.974725759757742,-9.802304751918909,1.0,0.0,-1.0,36.0384102892076,11.961589710792406,-48.0,0.09884964037117891
0.004,30.93036704824858,0.0,-30.93036704824858,1.3003693132822147,-7.205715171018968,7.154187105201805,17.981003050520805,-10.069556877829276,1.0,0.0,-1.0,35.43299338026098,12.567006619739022,-48.0,0.1025456586355699
0.0042,31.960698401212564,0.0,-31.960698401212564,1.2706503400829643,-6.797543246598938,6.748413146710648,16.961310975799854,-10.321909976522381,1.0,0.0,-1.0,34.80707498999574,13.192925010004258,-48.0,0.10604031059091881
0.0044,32.95019133168544,0.0,-32.95019133168544,1.23146706706385,-6.379424779188562,6.332945355605474,15.91707471515225,-10.560651921918042,1.0,0.0,-1.0,34.16163099052323,13.838369009476777,-48.0,0.10932854702860459
0.0046,33.89994250414697,0.0,-33.89994250414697,1.1831082787445706,-5.951893492981899,5.908278572162515,14.849592673884601,-10.787029973615315,1.0,0.0,-1.0,33.49758691843544,14.502413081564567,-48.0,0.11240559103079224
0.0048,34.811024505096945,0.0,-34.811024505096945,1.1259112810503078,-5.5154331432367165,5.474860885188591,13.760040644114207,-11.002248841891788,1.0,0.0,-1.0,32.81581922635617,15.184180773643833,-48.0,0.11526691302846435
0.005,35.68448326396023,0.0,-35.68448326396023,1.0602593475735838,-5.070479138939458,5.033095714615844,12.649476142377722,-11.20746908840162,1.0,0.0,-1.0,32.11715667003417,15.882843329965832,-48.0,0.11790820670987907
0.0052,36.52133570263112,0.0,-36.52133570263112,0.9865792434419691,-4.617420270227737,4.5833438555038315,11.518842891286315,-11.403805840587012,1.0,0.0,-1.0,31.40238181970064,16.59761818029936,-48.0,0.12032536581147771
0.0054,37.322567602831846,0.0,-37.322567602831846,0.905338852772781,-4.156600522733512,4.125925474342022,10.36897541509809,-11.592327794438766,1.0,0.0,-1.0,30.67223268629091,17.32776731370909,-48.0,0.12251446181699546
0.0056,38.08913167961875,0.0,-38.08913167961875,0.8170449334216456,-3.6883209623430653,3.66112205120282,9.200603721762205,-11.774056477394879,1.0,0.0,-1.0,29.927404454655296,18.072595545344704,-48.0,0.12447172258476744
0.0058,38.821945848728404,0.0,-38.821945848728404,0.7222410195731181,-3.212841675514131,3.1891782635125443,8.014358046926771,-11.94996574094324,1.0,0.0,-1.0,29.16855131705696,18.831448682943044,-48.0,0.1261935119180235
0.006,39.52189167502603,0.0,-39.52189167502603,0.6215054888771897,-2.7303837521605616,2.710303809008466,6.810773638529302,-12.120981450945854,1.0,0.0,-1.0,28.396288401103387,19.603711598896613,-48.0,0.12767631008837102
