scenario,offset_steps,table_direction,final_speed_rad_s,mean_torque_Nm,positive_torque_fraction,peak_phase_current_A,hall_fault_fraction,hall_enable_fraction,result
offset_0,0,1,66.39928805334938,0.9062869376110306,0.600997506234414,21.477695592008352,0.0,1.0,PASS
offset_1,1,1,22.000773576143303,-0.1947945755844314,0.543640897755611,65.3878760274894,0.0,1.0,PASS
offset_2,2,1,-66.30188659860518,-2.402026060256678,0.4089775561097257,36.38678365695863,0.0,1.0,PASS
offset_3,3,1,-61.25207098103639,-2.2740911585395627,0.4389027431421446,43.44057297340624,0.0,1.0,PASS
offset_4,4,1,-18.25494698744315,-1.1962167504948438,0.43640897755610975,62.73965724428086,0.0,1.0,PASS
offset_5,5,1,59.16134395293527,0.727090161125526,0.4713216957605985,17.348396017709117,0.0,1.0,PASS
reverse_table,0,-1,0.4310464314911568,-0.7428015754303324,0.4314214463840399,62.08848697941121,0.0,1.0,PASS
all_off,0,1,30.0,0.0,0.0,0.0,0.0,0.0,PASS
