time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad
0.0,0.0,0.0,0.0,0.0,-11.976664369760206,11.976664369760206,30.0,0.0,0.0,0.0,0.0,11.976664369760206,-23.953328739520412,11.976664369760206,0.0
2e-06,0.0,0.0,0.0,0.0012349289160293456,-11.976698224190987,11.976630515329424,30.0,0.0,0.0,0.0,0.0,11.977933153107015,-23.95332873952041,11.975395586413395,6e-05
4e-06,0.0,0.0,0.0,0.0024698579076945417,-11.97673207860286,11.976596660917556,30.0,0.0,0.0,0.0,0.0,11.979201936510554,-23.953328739520416,11.974126803009861,0.00012
6e-06,0.0,0.0,0.0,0.0037047870506314046,-11.976765932976935,11.976562806543528,30.0,0.0,0.0,0.0,0.0,11.980470720027567,-23.953328739520465,11.972858019492897,0.00018000000000000004
8e-06,0.0,0.0,0.0,0.004939716420475681,-11.976799787294322,11.97652895222626,30.0,0.0,0.0,0.0,0.0,11.981739503714797,-23.953328739520583,11.971589235805785,0.00024000000000000006
1e-05,0.0,0.0,0.0,0.006174646092863027,-11.97683364153613,11.976495097984689,30.0,0.0,0.0,0.0,0.0,11.983008287628993,-23.95332873952082,11.970320451891826,0.00030000000000000014
1.2e-05,0.0,0.0,0.0,0.007409576143428946,-11.976867495683498,11.97646124383776,30.0,0.0,0.0,0.0,0.0,11.984277071826927,-23.953328739521258,11.96905166769433,0.0003600000000000001
1.4e-05,0.0,0.0,0.0,0.008644506647808796,-11.976901349717554,11.976427389804432,30.0,0.0,0.0,0.0,0.0,11.985545856365363,-23.953328739521986,11.967782883156623,0.00042
1.6e-05,0.006339972270795297,-0.006339972270795297,0.0,0.009879437894539484,-11.97693545645494,11.976393788727487,30.000000633305714,0.0025332024147013397,1.0,-1.0,0.0,48.0,-41.959921798007684,-6.040078201992314,0.00048000000021110274
1.8e-05,0.019016983227752048,-0.019016983227752048,0.0,0.011114371549431642,-11.976971332824974,11.976361957486867,30.000005699567495,0.007599239382018812,1.0,-1.0,0.0,48.0,-41.95929043812464,-6.04070956187536,0.0005400000056996364
2e-05,0.0316900830347763,-0.0316900830347763,0.0,0.012349308700258417,-11.977009231478515,11.976332148715768,30.000015831620885,0.012664785572262863,1.0,-1.0,0.0,48.0,-41.9586621101049,-6.041337889895102,0.000600000026386567
2.2e-05,0.044359272047070956,-0.044359272047070956,0.0,0.01358425025654538,-11.97704915222359,11.976304362214313,30.00003102897493,0.017729840632617726,1.0,-1.0,0.0,48.0,-41.958036813197836,-6.041963186802169,0.0006600000724029868
2.4e-05,0.05702455061948933,-0.05702455061948933,0.0,0.014819197127719019,-11.977091094868088,11.976278597782489,30.00005129113832,0.022794404210645023,1.0,-1.0,0.0,48.0,-41.95741454665267,-6.042585453347323,0.0007200001538790062
2.6e-05,0.06968591910653524,-0.06968591910653524,0.0,0.01605415022310721,-11.977135059219773,11.976254855220171,30.000076617619403,0.02785847595428333,1.0,-1.0,0.0,48.0,-41.9567953097185,-6.043204690281499,0.0007800002809437519
2.8e-05,0.08234337786236327,-0.08234337786236327,0.0,0.017289110451939736,-11.97718104508625,11.976233134327098,30.000107007926164,0.03292205551184783,1.0,-1.0,0.0,48.0,-41.956179101644246,-6.043820898355747,0.0008400004637253675
3e-05,0.09499692724077889,-0.09499692724077889,0.0,0.01852407872334871,-11.977229052275005,11.976213434902865,30.000142461566245,0.037985142532029906,1.0,-1.0,0.0,48.0,-41.9555659216787,-6.044434078321306,0.000900000712351012
3.2e-05,0.10764656759523863,-0.10764656759523863,0.0,0.01975905594636913,-11.97727908059339,11.976195756746955,30.000182978046933,0.043047736663896774,1.0,-1.0,0.0,48.0,-41.95495576907047,-6.0450442309295305,0.0009600010369468593
3.4e-05,0.12029229927885038,-0.12029229927885038,0.0,0.020994043029939354,-11.977331129848617,11.976180099658718,30.000228556875165,0.04810983755689116,1.0,-1.0,0.0,48.0,-41.95434864306806,-6.045651356931943,0.0010200014476380978
3.6e-05,0.13293412264437335,-0.13293412264437335,0.0,0.02222904088290152,-11.977385199847754,11.97616646343737,30.00027919755752,0.053171444860830766,1.0,-1.0,0.0,48.0,-41.9537445429198,-6.046255457080207,0.0010800019545489292
3.8e-05,0.14557203804421848,-0.14557203804421848,0.0,0.02346405041400214,-11.977441290397747,11.976154847882006,30.00033489960024,0.05823255822590806,1.0,-1.0,0.0,48.0,-41.95314346787388,-6.046856532126123,0.0011400025678025682
4e-05,0.1582060458304484,-0.1582060458304484,0.0,0.024699072531892484,-11.9774994013054,11.976145252791584,30.00039566250921,0.06329317730268975,1.0,-1.0,0.0,48.0,-41.95254541717834,-6.0474545828216595,0.0012000032975212412
4.2e-05,0.1708361463547777,-0.1708361463547777,0.0,0.025934108145129135,-11.977559532377382,11.976137677964946,30.000461485789966,0.06835330174211654,1.0,-1.0,0.0,48.0,-41.95195039008108,-6.048049609918923,0.001260004153826186
4.4e-05,0.18346233996857333,-0.18346233996857333,0.0,0.027169158162174443,-11.977621683420232,11.976132123200792,30.0005323689477,0.07341293119550263,1.0,-1.0,0.0,48.0,-41.95135838582982,-6.048641614170178,0.0013200051468376522
4.6e-05,0.1960846270228543,-0.1960846270228543,0.0,0.028404223491397037,-11.977685854240345,11.976128588297705,30.000608311487245,0.0784720653145354,1.0,-1.0,0.0,48.0,-41.950769403672176,-6.049230596327819,0.0013800062866748985
4.8e-05,0.20870300786829227,-0.20870300786829227,0.0,0.02963930504107226,-11.97775204464399,11.97612707305414,30.000689312913096,0.08353070375127501,1.0,-1.0,0.0,48.0,-41.95018344285561,-6.0498165571443945,0.0014400075834561925
5e-05,0.22131748285521147,-0.22131748285521147,0.0,0.030874403719382725,-11.9778202544373,11.97612757726842,30.000775372729404,0.08858884615815403,0.0,-1.0,0.0,0.0,-17.94960050262738,17.94960050262738,0.0015000090472988112
5.2e-05,0.21702895289717547,-0.21702895289717547,0.0,0.032109516767679765,-11.977889132927457,11.976128750440955,30.000863107866326,0.08688141477357661,0.0,-1.0,0.0,0.0,-17.94901855852084,17.94901855852084,0.0015600106860639785
5.4e-05,0.21274113560346833,-0.21274113560346833,0.0,0.03334464068487848,-11.977957329512726,11.976129242203935,30.000949135533148,0.08517390598784483,0.0,-1.0,0.0,0.0,-17.948435586617858,17.948435586617858,0.0016200124985919627
5.6e-05,0.20845403101568294,-0.20845403101568294,0.0,0.034579775265424564,-11.978024844135813,11.976129052553327,30.001033455652536,0.08346631990572329,0.0,-1.0,0.0,0.0,-17.94785158698852,17.94785158698852,0.0016800144814677462
5.8e-05,0.20416763917549335,-0.20416763917549335,0.0,0.03581492030374594,-11.978091676739474,11.976128181485125,30.001116068147233,0.08175865663202574,0.0,-1.0,0.0,0.0,-17.94726655970299,17.94726655970299,0.0017400166312761562
6e-05,0.19988196012465473,-0.19988196012465473,0.0,0.037050075594252836,-11.97815782726651,11.976126628995392,30.001196972940104,0.0800509162716148,0.0,-1.0,0.0,0.0,-17.94668050483152,17.94668050483152,0.001800018944601867
6.2e-05,0.19559699390500337,-0.19559699390500337,0.0,0.03828524093133762,-11.97822329565977,11.976124395080221,30.001276169954117,0.0783430989294022,0.0,-1.0,0.0,0.0,-17.946093422444438,17.946093422444438,0.0018600214180293975
6.4e-05,0.19131274055845665,-0.19131274055845665,0.0,0.039520416109374804,-11.978288081862155,11.976121479735777,30.00135365911234,0.0766352047103487,0.0,-1.0,0.0,0.0,-17.94550531261217,17.94550531261217,0.0019200240481431125
6.6e-05,0.1870292001270129,-0.1870292001270129,0.0,0.040755600922721,-11.978352185816618,11.976117882958265,30.001429440337947,0.07492723371946405,0.0,-1.0,0.0,0.0,-17.94491617540521,17.94491617540521,0.001980026831527225
6.8e-05,0.1827463726527516,-0.1827463726527516,0.0,0.04199079516571479,-11.978415607466161,11.97611360474394,30.001503513554223,0.07321918606180709,0.0,-1.0,0.0,0.0,-17.944326010894162,17.944326010894162,0.0020400297647657916
7e-05,0.1784642581778331,-0.1784642581778331,0.0,0.04322599863267676,-11.978478346753827,11.976108645089102,30.001575878684555,0.07151106184248557,0.0,-1.0,0.0,0.0,-17.943734819149675,17.943734819149675,0.002100032844442717
7.2e-05,0.17418285674449868,-0.17418285674449868,0.0,0.044461211117909426,-11.978540403622715,11.976103003990108,30.001646535652426,0.06980286116665634,0.0,-1.0,0.0,0.0,-17.94314260024251,17.94314260024251,0.0021600360671417546
