time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,48.0,-24.0,-24.0
2e-05,0.16878323024035755,-0.16878323024035755,0.0,5.197576018417227e-13,-0.00013456325495493068,0.00013456325492643338,0.00033706360331956826,0.0673820035951589,1.0,-1.0,0.0,48.0,-24.000201844882145,-23.99979815511786
4e-05,0.3371049617223867,-0.3371049617223867,0.0,1.660573461471434e-11,-0.0005377625898681383,0.0005377625889576767,0.001347025948487044,0.1345797704006512,1.0,-1.0,0.0,48.0,-24.000806643875585,-23.99919335612441
6.000000000000001e-05,0.5049655104041747,-0.5049655104041747,0.0,1.258987208498931e-10,-0.0012088627613426935,0.0012088627544398992,0.0030280453402623825,0.20159343611797784,1.0,-1.0,0.0,48.0,-24.001813294072157,-23.998186705927836
8e-05,0.6723651939655693,-0.6723651939655693,0.0,5.296897892901571e-10,-0.0021471290850912754,0.0021471290560493637,0.005378281475412112,0.26842314343558377,1.0,-1.0,0.0,48.0,-24.003220693333752,-23.996779306666248
0.0001,0.83930433180092,-0.83930433180092,0.0,1.6139049155705665e-09,-0.0033518274653653703,0.003351827376877948,0.008395895512237945,0.33506904196071563,1.0,-1.0,0.0,48.0,-24.00502774030261,-23.99497225969739
0.00012000000000000002,1.0057832450115247,-1.0057832450115247,0.0,4.009499250352621e-09,-0.004822224424096534,0.004822224204263105,0.012079050139424681,0.40153128815142236,1.0,-1.0,0.0,48.0,-24.00723333441156,-23.992766665588437
0.00014000000000000001,1.1718022563977804,-1.1718022563977804,0.0,8.652263498342259e-09,-0.006557587129750349,0.006557586655362742,0.016425909644208824,0.4678100452487003,1.0,-1.0,0.0,48.0,-24.009836375894103,-23.99016362410589
0.00016,1.3373616904510481,-1.3373616904510481,0.0,1.6842044904642567e-08,-0.008557183425893743,0.008557182502475572,0.02143463997986942,0.5339054832087882,1.0,-1.0,0.0,48.0,-24.012835765794406,-23.987164234205597
0.00018,1.502461873345232,-1.502461873345232,0.0,3.0301385394976865e-08,-0.010820281859476347,0.010820280198107424,0.027103408832542565,0.5998177786356128,1.0,-1.0,0.0,48.0,-24.01623040597715,-23.98376959402285
0.0002,1.667103132928075,-1.667103132928075,0.0,5.123357946107722e-08,-0.013346151708826534,0.013346148899784131,0.03343038568736117,0.6655471147133869,1.0,-1.0,0.0,48.0,-24.02001919913741,-23.979980800862595
0.00022,1.831285798712182,-1.831285798712182,0.0,8.238015442621728e-08,-0.01613406301136289,0.01613405849461138,0.040413741893921426,0.7310936811393668,1.0,-1.0,0.0,48.0,-24.024201048810223,-23.97579895118978
0.00024000000000000003,1.9950102018657645,-1.9950102018657645,0.0,1.270777757684881e-07,-0.019183286591021753,0.01918327962358233,0.048051650731077776,0.7964576740567639,1.0,-1.0,0.0,48.0,-24.02877485938021,-23.971225140619794
0.00026000000000000003,2.1582766752031186,-2.1582766752031186,0.0,1.8931458022097944e-07,-0.022493094085401535,0.022493083705633236,0.05634228747106755,0.8616392959878219,1.0,-1.0,0.0,48.0,-24.033739536091048,-23.966260463908952
