time_s,phase_cmd_a,phase_cmd_b,phase_cmd_c,ia_A,ib_A,ic_A,vab_V,vbc_V,vca_V,ea_V,eb_V,ec_V,speed_rad_s,electromagnetic_torque_Nm
0.0,0.0,-1.0,1.0,0.0,0.0,0.0,24.0,-48.0,24.0,0.0,0.0,0.0,0.0,0.0
1e-05,0.0,-1.0,1.0,0.0,-0.08444926290463216,0.08444926290463216,24.000000000000068,-48.0,23.999999999999936,6.502148126638379e-14,-6.731226386181358e-05,6.731226385824855e-05,0.0001686085418657652,0.06742803187216134
2e-05,0.0,-1.0,1.0,0.0,-0.168782756642259,0.168782756642259,24.00000000000213,-48.0,23.99999999999786,2.0790257364217735e-12,-0.00026912613200155304,0.0002691261318875639,0.000674126259956169,0.1347636285138167
3.0000000000000004e-05,0.0,-1.0,1.0,0.0,-0.2530001663195567,0.2530001663195567,24.000000000016204,-48.0,23.999999999983796,1.577497264672499e-11,-0.0006052568426513622,0.0006052568417864497,0.0015160903491971808,0.2020065385001893
4e-05,0.0,-1.0,1.0,0.0,-0.33710117812412244,0.33710117812412244,24.000000000068244,-48.0,23.999999999931756,6.642234101924939e-11,-0.0010755191334589492,0.0010755191298171352,0.002694036749548429,0.2691565112695577
5e-05,0.0,-1.0,1.0,0.0,-0.4210854793247587,0.4210854793247587,24.00000000020809,-48.0,23.99999999979191,2.025422123200881e-10,-0.001679727243422068,0.0016797272323170532,0.004207500150319046,0.33621329712348236
6.000000000000001e-05,0.0,-1.0,1.0,0.0,-0.5049527582717511,0.5049527582717511,24.000000000517385,-48.0,23.999999999482615,5.035846831814893e-10,-0.0024176949148224194,0.0024176948872118025,0.006056013994484637,0.40317664722702795
7.000000000000001e-05,0.0,-1.0,1.0,0.0,-0.5887027043971393,0.5887027043971393,24.000000001117378,-48.0,23.99999999888262,1.087568498600685e-09,-0.003289235395158946,0.0032892353355295765,0.00823911048300534,0.4700463136089795
8e-05,0.0,-1.0,1.0,0.0,-0.6723350082149823,0.6723350082149823,24.00000000217677,-48.0,23.999999997823235,2.1186827990853835e-09,-0.004294161439080527,0.0042941613229170675,0.010756320579144961,0.5368220491620542
9e-05,0.0,-1.0,1.0,0.0,-0.7558493613216161,0.7558493613216161,24.00000000391943,-48.0,23.999999996080565,3.814850876336842e-09,-0.005432285310318038,0.005432285101156819,0.013607174012791158,0.6035036076431071
0.0001,0.0,-1.0,1.0,0.0,-0.8392454563959061,0.8392454563959061,24.000000006632217,-48.0,23.999999993367787,6.4552558333961105e-09,-0.0067034187836157765,0.006703418429686037,0.016791199284776622,0.6700907436733327
0.00011,0.0,-1.0,1.0,0.0,-0.9225229871994928,0.9225229871994928,24.000000010672597,-48.0,23.999999989327403,1.0387828046512455e-08,-0.008107373146662239,0.008107372577116839,0.020307923671201277,0.736583212738461
0.00012000000000000002,0.0,-1.0,1.0,0.0,-1.0056816485770306,1.0056816485770306,24.00000001647632,-48.0,23.99999998352368,1.603669432732504e-08,-0.009643959202020243,0.00964395832275795,0.02415687322775545,0.8029807711889484
0.00013000000000000002,0.0,-1.0,1.0,0.0,-1.0887211364564209,1.0887211364564209,24.00000002456505,-48.0,23.999999975434953,2.3909588685279676e-08,-0.011312987269056331,0.011312985958137801,0.028337572794043923,0.8692831762401636
0.00014000000000000001,0.0,-1.0,1.0,0.0,-1.171641147849038,1.171641147849038,24.000000035553896,-48.0,23.999999964446104,3.460522459153219e-08,-0.013114267185869553,0.01311426528852909,0.032849545997911005,0.9354901859725681
0.00015000000000000001,0.0,-1.0,1.0,0.0,-1.254441380849949,1.254441380849949,24.000000050158995,-48.0,23.999999949840998,4.8820628646917607e-08,-0.015047608311219486,0.01504760563447471,0.03769231525976639,1.0016015593318917
0.00016,0.0,-1.0,1.0,0.0,-1.3371215346381284,1.3371215346381284,24.000000069205,-48.0,23.999999930795003,6.735843555789183e-08,-0.017112819526453583,0.017112815833315136,0.042865401796911985,1.0676170561293037
0.00017,0.0,-1.0,1.0,0.0,-1.4196813094766643,1.4196813094766643,24.0000000936325,-48.0,23.999999906367492,9.113414432567725e-08,-0.019309709237433734,0.01930970424071715,0.04836832562786944,1.1335364370415784
0.00018,0.0,-1.0,1.0,0.0,-1.502120406712959,1.502120406712959,24.000000124505465,-48.0,23.99999987549454,1.211833355551687e-07,-0.021638085376462182,0.02163807873220401,0.054200605576708666,1.1993594636112535
0.00019,0.0,-1.0,1.0,0.0,-1.5844385287789244,1.5844385287789244,24.0000001630186,-48.0,23.9999998369814,1.5866884979147808e-07,-0.024097755404206566,0.024097746704686982,0.06036175927737697,1.2650858982467883
0.0002,0.0,-1.0,1.0,0.0,-1.6666353791911699,1.6666353791911699,24.00000021050474,-48.0,23.999999789495263,2.0488792679331867e-07,-0.026688526311624317,0.026688515077998225,0.06685130317802908,1.3307155042227117
0.00021,0.0,-1.0,1.0,0.0,-1.7487106625511837,1.7487106625511837,24.00000026844203,-48.0,23.99999973155797,2.6127930565374907e-07,-0.029410204621886173,0.029410190296425075,0.07366875254535785,1.3962480456797681
0.00022,0.0,-1.0,1.0,0.0,-1.8306640845455084,1.8306640845455084,24.00000033846131,-48.0,23.99999966153869,3.2943028568011624e-07,-0.032262596392298996,0.032262578330245706,0.08081362146892568,1.4616832876250583
0.00023,0.0,-1.0,1.0,0.0,-1.9124953519459111,1.9124953519459111,24.000000422353228,-48.0,23.99999957764678,4.110837479463557e-07,-0.0352455072162277,0.0352454846772661,0.08828542286549666,1.5270209959321734
