time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,speed_rpm,electromagnetic_torque_Nm,phase_cmd_a,phase_cmd_b,phase_cmd_c
0.0,0.0,0.0,0.0,0.0,-119.76664369760206,119.76664369760206,300.0,2864.7889756541163,0.0,0.0,-1.0,1.0
0.0005,0.0,-5.180633005975232,5.180633005975232,32.41030166482633,-119.89113751148693,119.07127325172681,299.02221616314876,2855.4518277995016,4.140082192795558,0.0,-1.0,1.0
0.001,0.0,-5.749016197461416,5.749016197461416,69.84500922805694,-119.46188373078716,120.60068580563204,298.535297283576,2850.802095005376,4.622982988032113,0.0,-1.0,1.0
0.0015,0.0,-4.081736598079754,4.081736598079754,102.70057070262291,-119.11890647434828,118.9558568596988,298.04643463814807,2846.1338006146057,3.2604264357651096,0.0,-1.0,1.0
0.002,4.973759535476417,-4.973759535476417,0.0,118.62048029983885,-118.86973211880463,102.79939738030326,297.4236523619373,2840.1866679508676,3.9715039446900224,1.0,-1.0,0.0
0.0025,5.589571494854613,-5.589571494854613,0.0,119.98392699094495,-118.81717028314233,70.07155003642998,296.93580351731555,2835.5280546446743,4.495233617677918,1.0,-1.0,0.0
0.003,4.074757596582749,-4.074757596582749,0.0,118.06347528201293,-118.85965574304284,32.934676753283,296.44828712208056,2830.872615996275,3.256569087724067,1.0,-1.0,0.0
0.0035,4.883229893718973,-4.883229893718973,0.0,118.11425142430018,-118.17037514840493,1.0243777005762247,295.931261353164,2825.9353835865377,3.8989870371588626,1.0,-1.0,0.0
0.004,5.71665497451928,-5.71665497451928,0.0,118.45218913148071,-117.61452718605344,-30.417731800851396,295.43964293322097,2821.2407734875997,4.567809366260631,1.0,-1.0,0.0
0.0045000000000000005,4.305188692011712,-4.305188692011712,0.0,118.04109051857219,-119.03722046692256,-66.81434858502968,294.941307719968,2816.482022737242,3.460576178583504,1.0,-1.0,0.0
0.005,5.077075206595295,-5.077075206595295,0.0,117.67875394201556,-117.96527240416701,-99.6239553288359,294.4382218190698,2811.6779062615747,4.063271528924192,1.0,-1.0,0.0
0.0055,4.289841915536279,0.0,-4.289841915536279,117.43186129109465,-103.56549897521772,-116.54993752692401,293.8293506644778,2805.8636150240113,3.4160812246026593,1.0,0.0,-1.0
0.006,5.157811890644303,0.0,-5.157811890644303,117.34639103042956,-72.70702401988238,-118.68199810513428,293.3250901983965,2801.0482822770514,4.150309921287759,1.0,0.0,-1.0
0.006500000000000001,5.3357076677934,0.0,-5.3357076677934,117.41266092317237,-36.26237996983557,-116.72682133309064,292.8483222573015,2796.495483805071,4.266030350381394,-1.0,0.0,1.0
0.007,4.882116387700424,0.0,-4.882116387700424,116.82712665308645,-4.568994550245286,-116.58032111370868,292.32761630578125,2791.5231082401615,3.8981001526781354,1.0,0.0,-1.0
0.0075,5.944373972191902,0.0,-5.944373972191902,116.12841329299484,25.654524282453085,-116.99160777849397,291.8422946582295,2786.88862788832,4.74829252311428,1.0,0.0,-1.0
0.008,4.769622678299278,0.0,-4.769622678299278,117.2882880028298,60.66705776519899,-116.63932408814341,291.3284049724172,2781.9813428662624,3.829858073108732,1.0,0.0,-1.0
0.0085,5.760478091419968,0.0,-5.760478091419968,117.25944985960825,94.12569281524449,-116.24945386364612,290.84421720749964,2777.3576902959876,4.624891417695398,1.0,0.0,-1.0
0.009000000000000001,0.0,4.321854071724444,-4.321854071724444,105.95636729843834,113.53972952653945,-116.0237123801106,290.30877679427005,2772.244610986188,3.4175325564697694,0.0,1.0,-1.0
0.0095,0.0,5.4594601436027785,-5.4594601436027785,78.1970930271525,117.4561477921873,-115.89719796153418,289.80658541104236,2767.449036525057,4.395977712900719,0.0,1.0,-1.0
0.01,0.0,4.3462589978951565,-4.3462589978951565,42.57953739068754,115.5628394366797,-115.96871443918499,289.31499763220575,2762.7547190271325,3.4782023315946,0.0,1.0,-1.0
0.0105,0.0,5.594818131920522,-5.594818131920522,10.570219924719089,115.03543292133648,-115.569436333841,288.813055337134,2757.9615231826792,4.467222931844184,0.0,1.0,-1.0
0.011,0.0,4.642707929865612,-4.642707929865612,-18.475070435093038,115.50783875367114,-114.72164477341205,288.30801553745823,2753.1387483480867,3.707452416359124,0.0,1.0,-1.0
0.0115,0.0,5.935291942774845,-5.935291942774845,-51.594508825714776,115.30492686057164,-115.41339990125127,287.82116783742305,2748.4896952684758,4.75774813982216,0.0,1.0,-1.0
