t,targetRpm,actualRpm,feedbackRpm,duty,carrier,pwmOn,electricalStep,hallState,ahBase,bhBase,chBase,alBase,blBase,clBase,ahPwm,bhPwm,chPwm,alPwm,blPwm,clPwm
0.0049,0,36.0140918125941,0,0.12,0.45,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.005,0,36.7040565830626,0,0.12,0.5,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0051,0,37.392296441605,0,0.12,0.55,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0052,0,38.078815700501,0,0.12,0.600000000000001,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0053,0,38.7636186612497,0,0.12,0.65,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0054,0,39.4467096145966,0,0.12,0.7,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0055,0,40.1280928405601,0,0.12,0.75,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0056,0,40.8077726084587,0,0.12,0.8,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0057,0,41.4857531769376,0,0.12,0.85,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0058,0,42.1620387939952,0,0.12,0.9,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0059,0,42.8366336970102,0,0.12,0.95,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.006,0,43.5095421127677,0,0.12,0,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0061,0,44.1807682574858,0,0.12,0.0500000000000003,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0062,0,44.8503163368421,0,0.12,0.100000000000001,1,0,5,1,0,0,0,1,0,1,0,0,0,1,0
0.0063,0,45.518190546,0,0.12,0.15,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0064,0,46.184395069635,0,0.12,0.2,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0065,0,46.8489340819609,0,0.12,0.25,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0066,0,47.511811746756,0,0.12,0.3,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0067,0,48.1730322173891,0,0.12,0.35,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0068,0,48.8325996368456,0,0.12,0.4,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
0.0069,0,49.4905181377535,0,0.12,0.45,0,0,5,1,0,0,0,1,0,0,0,0,0,1,0
