scenario,load_torque_Nm,current_ref_A,peak_phase_current_A,tail_speed_mean_rad_s,tail_speed_mean_rpm,final_speed_rad_s,tail_torque_mean_Nm,result,reason
nominal_load,3.0,5.0,5.994069932328974,365.4961282790869,3490.230929793969,365.3993799957985,2.9936141735092274,PASS,peak_current_ok=True; torque_error_Nm=0.0064; tail_speed_rad_s=365.496
overload,6.0,5.0,5.998234149473026,28.48278898579275,271.9905996079385,-1.2607844380602733,4.00975883629833,PASS,peak_current_ok=True; torque_deficit_Nm=1.9902; tail_speed_rad_s=28.483
