time_s,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,speed_rpm,electromagnetic_torque_Nm,phase_cmd_a,phase_cmd_b,phase_cmd_c
0.0,0.0,0.0,0.0,0.0,-119.76664369760206,119.76664369760206,300.0,2864.7889756541163,0.0,0.0,-1.0,1.0
0.0005,0.0,-5.154873037872936,5.154873037872936,32.53570507602018,-120.19119570168141,119.37014864397038,299.7704924441345,2862.5973399345403,4.119512580492335,0.0,-1.0,1.0
0.001,0.0,-5.6514509823298855,5.6514509823298855,70.38593180238739,-120.05894895909435,121.21435113827697,300.0310788290667,2865.085756610405,4.5446766187248855,0.0,-1.0,1.0
0.0015,0.0,-5.270683953558789,5.270683953558789,103.76867688743052,-120.01941488450068,119.77475803530967,300.3002184404534,2867.6558505824464,4.20871921415522,0.0,1.0,-1.0
0.002,4.773440183626837,-4.773440183626837,0.0,119.95061496348409,-120.06057815618887,103.30945991245098,300.4021248025153,2868.6289846577256,3.813818142966994,1.0,-1.0,0.0
0.0025,5.17414504514307,-5.17414504514307,0.0,121.42866810214572,-120.3155464127048,69.75589692683161,300.6571351127953,2871.0641537429537,4.160285866007326,1.0,-1.0,0.0
0.003,5.618720293890808,-5.618720293890808,0.0,119.81038550324978,-120.64983937314207,31.835098489714575,300.91693602340365,2873.545069691539,4.489872731129532,1.0,-1.0,0.0
0.0035,4.9318979769498945,-4.9318979769498945,0.0,120.26124454285865,-120.21477160967055,-0.8480205543379636,301.1807068115813,2876.063895178442,3.937845787411585,-1.0,1.0,0.0
0.004,4.387499889393573,-4.387499889393573,0.0,120.85113898482547,-120.05023089158774,-33.871455261268316,301.41505371021276,2878.3017432173697,3.5066421556492773,1.0,-1.0,0.0
0.0045000000000000005,4.782466561491403,-4.782466561491403,0.0,120.69996904664833,-121.9422195027953,-72.2178684096649,301.6608005725847,2880.6484528911187,3.846797962951065,1.0,-1.0,0.0
0.005,5.110840219676653,-5.110840219676653,0.0,120.66419387565732,-120.08816077047354,-105.43243027547308,301.9155940394438,2883.0815512742074,4.075466260767408,1.0,-1.0,0.0
0.0055,5.405860548086444,0.0,-5.405860548086444,120.73638172412518,-102.58376549608826,-120.94742892757618,302.08966259524203,2884.743783539737,4.324904619009643,1.0,0.0,-1.0
0.006,5.688838915220296,0.0,-5.688838915220296,121.0106450334616,-68.04516995146183,-122.00462212885549,302.35208070176554,2887.2496918683382,4.572400181989465,1.0,0.0,-1.0
0.006500000000000001,5.680025433222333,0.0,-5.680025433222333,121.32609280525223,-29.889087848066435,-120.45158533244607,302.61631712637995,2889.7729638556775,4.538100833584743,-1.0,0.0,1.0
0.007,4.223573560441391,0.0,-4.223573560441391,120.82780482453944,2.8985051801296575,-120.98583952255257,302.85597596204184,2892.0615371567515,3.372288466734305,1.0,0.0,-1.0
0.0075,4.595989111250475,0.0,-4.595989111250475,120.78587060868898,36.64855568729555,-121.52298527132493,303.09595907634883,2894.3532070907845,3.6742451683546866,1.0,0.0,-1.0
0.008,4.872009713139644,0.0,-4.872009713139644,122.75155104347026,75.56154518045277,-121.35258912384887,303.34579348104336,2896.738949918478,3.9205348070438957,1.0,0.0,-1.0
0.0085,5.108052068914828,0.0,-5.108052068914828,120.03774738017862,108.03978778122215,-121.33656275531763,303.6005879407221,2899.1720577822957,4.0611006475100915,1.0,0.0,-1.0
0.009000000000000001,0.0,5.511866706041122,-5.511866706041122,100.66470918850247,122.10686422416603,-121.4021708262528,303.7468916536986,2900.5691553290703,4.41877556542976,0.0,1.0,-1.0
0.0095,0.0,5.683940813338539,-5.683940813338539,64.75863524865663,122.47383172401518,-121.70346592569771,304.0075709017438,2903.0584587823423,4.565311658802359,0.0,1.0,-1.0
0.01,0.0,5.932079956440179,-5.932079956440179,26.57849031024767,121.07145989676226,-121.97158077922074,304.2677574269629,2905.5430570792137,4.738427634720235,0.0,1.0,-1.0
0.0105,0.0,4.020854025953472,-4.020854025953472,-6.204508146403776,121.73664338315295,-121.40496693740067,304.51870045147547,2907.93938644635,3.210433123761452,0.0,1.0,-1.0
0.011,0.0,4.284972704786611,-4.284972704786611,-40.93909099547621,122.1779808698883,-121.5791170213879,304.75860161569716,2910.2302738147127,3.4272781983007956,0.0,1.0,-1.0
0.0115,0.0,4.441961786277254,-4.441961786277254,-80.35025877594995,121.98837216850391,-123.57267444137345,305.00827549994483,2912.6144837850516,3.576207181432755,0.0,1.0,-1.0
0.012,0.0,4.603050864594481,-4.603050864594481,-111.36644040066024,121.99833083013908,-119.41171147610905,305.25815535425767,2915.0006606246297,3.640271961513924,0.0,1.0,-1.0
0.0125,-4.317238479428583,4.317238479428583,0.0,-123.33247127336936,122.10347222088822,-97.40590906690554,305.48202472137257,2917.138455607621,3.4686345308033264,-1.0,1.0,0.0
0.013000000000000001,-4.379739014964544,4.379739014964544,0.0,-122.87717946816889,122.43991694081754,-59.89512570552801,305.7366636240676,2919.570078011666,3.514216598835409,-1.0,1.0,0.0
0.0135,-4.531960759521779,4.531960759521779,0.0,-121.74366813962543,122.61835214941472,-21.965643985700137,305.98391987366824,2921.931201271724,3.6192721745790553,-1.0,1.0,0.0
0.014,-4.706652209693343,4.706652209693343,0.0,-122.53082760512667,121.98021134334518,10.841752111499734,306.2299561847646,2924.2806749771885,3.758053053003361,-1.0,1.0,0.0
0.0145,-4.850696203086077,4.850696203086077,0.0,-122.83776675026166,122.49568928481172,46.88556706797155,306.47810421423145,2926.6503141076787,3.8829464399436056,-1.0,1.0,0.0
0.015,-4.874997684464081,4.874997684464081,0.0,-122.64552298388405,124.35281129618937,86.54068147786965,306.7326551159526,2929.0810961643238,3.9256215065417708,-1.0,1.0,0.0
0.0155,-4.994978016790329,4.994978016790329,0.0,-122.68742019937004,117.94169964623357,115.19848323926502,306.98279829976383,2931.469787615382,3.915324150035022,-1.0,1.0,0.0
0.016,-4.733793322507133,0.0,4.733793322507133,-122.79451254857224,92.46813577402267,124.41187407949882,307.16880224151805,2933.2459944212674,3.8097096246804574,-1.0,0.0,1.0
0.0165,-4.695866075115708,0.0,4.695866075115708,-123.17222344000395,53.395448375786025,123.18401208230111,307.42541286723326,2935.696445393217,3.7630457352008664,-1.0,0.0,1.0
0.017,-4.752951642846704,0.0,4.752951642846704,-123.2115615640986,16.09377948244228,122.46553528899727,307.67501785930483,2938.0799974917327,3.7952101838560663,-1.0,0.0,1.0
0.0175,-4.818765444635675,0.0,4.818765444635675,-122.55381110052508,-16.933644508452016,123.32485880520777,307.9233424858125,2940.4513229997415,3.8478136426741276,-1.0,0.0,1.0
0.018000000000000002,-4.842633621770302,0.0,4.842633621770302,-123.53882086678186,-54.57491116948683,123.46358632785024,308.1732603804899,2942.837863098043,3.8813950316847494,-1.0,0.0,1.0
0.0185,-4.738795136796074,0.0,4.738795136796074,-124.87375525677751,-93.86390757482614,123.29509836893648,308.43012575557356,2945.290746747266,3.812926359851664,-1.0,0.0,1.0
0.019,-0.6659008399827222,-2.3879012802839235,3.0538021202666457,-115.17398281125797,-119.09325751679775,123.35518147139382,308.65362130464786,2947.424972030919,2.3903160623886905,0.0,-1.0,1.0
