scenario,final_speed_rad_s,tail_abs_error_rad_s,hall_tail_bias_rad_s,minimum_speed_rad_s,rise_to_50_s,post_load_high_saturation_fraction,fault_all_off_fraction,hall_fault_fraction,hall_enable_tail_fraction,hall_edge_count,peak_phase_current_A,result
zero_speed_start,58.03740142099518,2.166403541246526,0.4876900102177615,0.0,0.01211,0,0,0.0,1.0,27,27.88613746455576,PASS
target_step,64.16848936519193,1.95832848325281,0.24316672138488116,30.0,0.01347,0,0,0.0,1.0,26,12.035119882904231,PASS
load_step,55.417279685501775,6.5158693084969235,0.8399491817595219,30.0,0.0094,0.9466586668952316,0,0.0,1.0,25,14.443115564807663,PASS
invalid_hall,63.663132721853394,1.987620345408806,0.8419893296750729,30.0,0.0094,0,1.0,0.03999920001599968,1.0,19,12.650448983872504,PASS
overload,28.82628408102784,20.71788613654318,0.05742139439502836,16.262257226740306,0.0094,0.9473443615896688,0,0.0,1.0,20,27.80010323384792,PASS
