time_s,speed_target_rad_s,load_torque_Nm,hall_invalid,effective_duty,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad,duty_cmd,hall_a,hall_b,hall_c,hall_code,hall_decoded_sector,hall_transition_class,hall_legal_event,hall_direction,hall_speed_feedback_rad_s,hall_timeout,hall_enable,hall_fault,hall_edge_count,gate_ah,gate_al,gate_bh,gate_bl,gate_ch,gate_cl,gate_all_off
0.00011,60.0,0.0,0.0,0.48528,0.2270139159649501,-0.2270139159649501,0.0,0.0679367990625157,-11.980203264720561,11.976479579629961,30.00420079255489,0.0911570841324417,1.0,-1.0,0.0,48.0,-41.932612812458984,-6.067387187541014,0.003300199211506278,0.48528,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.00012,60.0,0.0,0.0,0.48575999999999997,0.2899505327036204,-0.2899505327036204,0.0,0.0741151322381892,-11.980579711534412,11.976517627080842,30.004719916773084,0.11649051220030042,1.0,-1.0,0.0,48.0,-41.92974991672895,-6.070250083271045,0.0036002437094969646,0.48575999999999997,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.00013,60.0,0.0,0.0,0.48624,0.3527896469431211,-0.3527896469431211,0.0,0.08029425143914015,-11.981006704544985,11.976606240627573,30.00536567673154,0.14181137306505484,1.0,-1.0,0.0,48.0,-41.92696246718049,-6.073037532819507,0.0039002940319608974,0.48624,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.00014,60.0,0.0,0.0,0.48672,0.4155313014098921,-0.4155313014098921,0.0,0.08647427024157626,-11.98148421916867,11.976745394719996,30.006138009486875,0.16711962382095796,1.0,-1.0,0.0,48.0,-41.92425036918355,-6.075749630816459,0.0042003514449409415,0.48672,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.00015,60.0,0.0,0.0,0.48719999999999997,0.467307420582453,-0.467307420582453,0.0,0.0926552978139675,-11.982011669230285,11.976934502461361,30.007035445675722,0.18804195052779685,0.0,-1.0,0.0,0.0,-17.92161268816952,17.92161268816952,0.00450041721324658,0.48719999999999997,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.00016,60.0,0.0,0.0,0.48768,0.445419807604671,-0.445419807604671,0.0,0.09883709570367549,-11.982547481773832,11.97713200922411,30.007953873180142,0.17932872120640128,0.0,-1.0,0.0,0.0,-17.91898720225919,17.91898720225919,0.004800492196145983,0.48768,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.00017,60.0,0.0,0.0,0.48816,0.4235502731298777,-0.4235502731298777,0.0,0.10501945531923414,-11.983065873790942,11.977312148687746,30.008828729598093,0.17061351807150169,0.0,-1.0,0.0,0.0,-17.9163353579236,17.9163353579236,0.005100576145473222,0.48816,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.00018,60.0,0.0,0.0,0.48863999999999996,0.4016988221664521,-0.4016988221664521,0.0,0.11120235022802981,-11.983566838083176,11.977474920358684,30.009660005092492,0.16189635392387822,0.0,-1.0,0.0,0.0,-17.913657164286256,17.913657164286256,0.005400668625468194,0.48863999999999996,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.00019,60.0,0.0,0.0,0.48912,0.37986545977509,-0.37986545977509,0.0,0.11738575398359813,-11.984050367482572,11.9776203237739,30.01044768989036,0.1531772415967055,0.0,-1.0,0.0,0.0,-17.910952630523386,17.910952630523386,0.0057007692002727425,0.48912,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0002,60.0,0.0,0.0,0.4896,0.3580501910687035,-0.3580501910687035,0.0,0.12356964012545243,-11.984516454851768,11.97774835850087,30.011191774282935,0.1444561939555461,0.0,-1.0,0.0,0.0,-17.908221765864027,17.908221765864027,0.0060008774339313075,0.4896,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
