time_s,speed_target_rad_s,load_torque_Nm,hall_invalid,effective_duty,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad,duty_cmd,hall_a,hall_b,hall_c,hall_code,hall_decoded_sector,hall_transition_class,hall_legal_event,hall_direction,hall_speed_feedback_rad_s,hall_timeout,hall_enable,hall_fault,hall_edge_count,gate_ah,gate_al,gate_bh,gate_bl,gate_ch,gate_cl,gate_all_off
0.00011,60.0,0.0,0.0,0.48528,0.45373349538787977,-0.45373349538787977,0.0,1.3057923490695641e-09,-0.002648613266073239,0.002648613194479059,0.006634434635148366,0.18114055133817308,1.0,-1.0,0.0,48.0,-24.00397291917462,-23.99602708082538,2.8688031544333457e-07,0.48528,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.00012,60.0,0.0,0.0,0.48575999999999997,0.5375583734934857,-0.5375583734934857,0.0,1.872681932916079e-09,-0.0030435972435430775,0.0030435971408673914,0.007623818531368362,0.21460534294622952,1.0,-1.0,0.0,48.0,-24.004565394826297,-23.9954346051737,3.580321446454833e-07,0.48575999999999997,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.00013,60.0,0.0,0.0,0.48624,0.6212680548111619,-0.6212680548111619,0.0,2.6500382912856423e-09,-0.0035053347666364008,0.003505334621339702,0.008780411437859058,0.24802415851771,1.0,-1.0,0.0,48.0,-24.00525800067964,-23.994741999320357,4.3991404942803433e-07,0.48624,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.00014,60.0,0.0,0.0,0.48672,0.7048625792516849,-0.7048625792516849,0.0,3.7030834608705833e-09,-0.004033734082416418,0.004033733879383201,0.010103983520865516,0.281397016695537,1.0,-1.0,0.0,48.0,-24.006050599069052,-23.99394940093094,5.341969706472414e-07,0.48672,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.00015,60.0,0.0,0.0,0.48719999999999997,0.7774738687988019,-0.7774738687988019,0.0,5.110555755383684e-09,-0.0046281465000452505,0.00462814621984293,0.011592909888072838,0.31038513822861535,0.0,-1.0,0.0,0.0,-0.00694221691458774,0.00694221691458774,6.425489531464477e-07,0.48719999999999997,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.00016,60.0,0.0,0.0,0.48768,0.7764037239504534,-0.7764037239504534,0.0,6.90956663878592e-09,-0.0052472832999487596,0.005247282921109999,0.013143767618081227,0.30995797991072893,0.0,-1.0,0.0,0.0,-0.007870921116301055,0.007870921116301055,7.662341205035671e-07,0.48768,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.00017,60.0,0.0,0.0,0.48816,0.7753339515940161,-0.7753339515940161,0.0,9.126696043886685e-09,-0.0058655676126407544,0.00586556711224089,0.014692489948831043,0.3095309785833661,0.0,-1.0,0.0,0.0,-0.00879834635521326,0.00879834635521326,9.0541718751035e-07,0.48816,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.00018,60.0,0.0,0.0,0.48863999999999996,0.7742645527197173,-0.7742645527197173,0.0,1.1810496108361364e-08,-0.006482999753170879,0.006482999105623218,0.016239077666147,0.30910413459524716,0.0,-1.0,0.0,0.0,-0.009724493076960605,0.009724493076960605,1.0600768041018815e-06,0.48863999999999996,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.00019,60.0,0.0,0.0,0.48912,0.7731955283157925,-0.7731955283157925,0.0,1.5009292713748885e-08,-0.00709958003727795,0.007099579214346192,0.01778353155759566,0.3086774482943901,0.0,-1.0,0.0,0.0,-0.010649361728338858,0.010649361728338858,1.2301916280802058e-06,0.48912,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
0.0002,60.0,0.0,0.0,0.4896,0.7721268793684873,-0.7721268793684873,0.0,1.8771185924405045e-08,-0.007715308781388585,0.007715307752199176,0.01932585241248191,0.3082509200281124,0.0,-1.0,0.0,0.0,-0.01157295275730058,0.01157295275730058,1.4157403251317273e-06,0.4896,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
