time_s,speed_target_rad_s,load_torque_Nm,hall_invalid,effective_duty,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad,hall_speed_feedback_rad_s
0.0,60.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-11.976664369760206,11.976664369760206,30.0,0.0,0.0,0.0,0.0,11.976664369760206,-23.953328739520412,11.976664369760206,0.0,0.0
1e-05,60.0,0.0,0,0.5,0.050704009412945464,-0.050704009412945464,0.0,0.006174656653769459,-11.976849813669654,11.976511269539179,30.000040508384078,0.020252885504239,1.0,-1.0,0.0,48.0,-41.961848848047126,-6.038151151952878,0.0003000001080258407,0.0
2e-05,60.0,0.0,0,0.6666666666666666,0.11399602518968019,-0.11399602518968019,0.0,0.012349411366932603,-11.977084770704803,11.976407682313118,30.000205040592988,0.04555794999334601,1.0,-1.0,0.0,48.0,-41.95877536198205,-6.041224638017946,0.0006000012303329543,0.0
3e-05,60.0,0.0,0,0.75,0.17719030902716773,-0.17719030902716773,0.0,0.018524377708565326,-11.977370227737548,11.976354593973186,30.00049606736684,0.07085070418246896,1.0,-1.0,0.0,48.0,-41.955777518987674,-6.044222481012325,0.0009000046304862746,0.0
4e-05,60.0,0.0,0,0.8,0.24028690505656192,-0.24028690505656192,0.0,0.02469966922233703,-11.97770616065313,11.976351979426004,30.000913527044833,0.09613110439099667,1.0,-1.0,0.0,48.0,-41.952855225141406,-6.047144774858598,0.0012000115731233291,0.0
5e-05,60.0,0.0,0,0.6666666666666666,0.2883426872688673,-0.2883426872688673,0.0,0.03087539663960564,-11.978091489412792,11.976398757809525,30.001454713194956,0.11541766278834001,0.0,-1.0,0.0,0.0,-17.950006804196118,17.950006804196118,0.0015000233207049859,0.0
6e-05,60.0,0.0,0,0.5714285714285714,0.2668151309584596,-0.2668151309584596,0.0,0.03705152758313643,-11.978482605477657,11.97645132760863,30.0020104007915,0.10685704959171267,0.0,-1.0,0.0,0.0,-17.947166866555893,17.947166866555893,0.0018000406819441406,0.0
7e-05,60.0,0.0,0,0.5,0.245305426037528,-0.245305426037528,0.0,0.043227992328427924,-11.978856625159269,11.976486814206448,30.00252328043935,0.09829448547998414,0.0,-1.0,0.0,0.0,-17.944301130621866,17.944301130621866,0.0021000633860276457,0.0
8e-05,60.0,0.0,0,0.4444444444444444,0.2238135776546633,-0.2238135776546633,0.0,0.04940476507830084,-11.979213541276653,11.976505217085386,30.002993342416513,0.08972998349406845,0.0,-1.0,0.0,0.0,-17.94140960518456,17.94140960518456,0.0024000910048273517,0.0
9e-05,60.0,0.0,0,0.4,0.20233959100943075,-0.20233959100943075,0.0,0.0555818200241249,-11.979553346679511,11.976506535759139,30.003420577066287,0.08116355670577817,0.0,-1.0,0.0,0.0,-17.938492299086832,17.938492299086832,0.0027001231101182114,0.0
0.0001,60.0,0.0,0,0.36363636363636365,0.18088347135226646,-0.18088347135226646,0.0,0.06175913134565041,-11.979876034248358,11.976490769772646,30.003804974797404,0.07259521821781457,0.0,-1.0,0.0,0.0,-17.935549221224,17.935549221224,0.0030001592735789413,0.0
0.00011,60.0,0.0,0,0.4166666666666667,0.2270139159649501,-0.2270139159649501,0.0,0.0679367990625157,-11.980203264720561,11.976479579629961,30.00420079255489,0.0911570841324417,1.0,-1.0,0.0,48.0,-41.932612812458984,-6.067387187541014,0.003300199211506278,0.0
0.00012,60.0,0.0,0,0.46153846153846156,0.2899505327036204,-0.2899505327036204,0.0,0.0741151322381892,-11.980579711534412,11.976517627080842,30.004719916773084,0.11649051220030042,1.0,-1.0,0.0,48.0,-41.92974991672895,-6.070250083271045,0.0036002437094969646,0.0
0.00013,60.0,0.0,0,0.5,0.3527896469431211,-0.3527896469431211,0.0,0.08029425143914015,-11.981006704544985,11.976606240627573,30.00536567673154,0.14181137306505484,1.0,-1.0,0.0,48.0,-41.92696246718049,-6.073037532819507,0.0039002940319608974,0.0
0.00014,60.0,0.0,0,0.5333333333333333,0.4155313014098921,-0.4155313014098921,0.0,0.08647427024157626,-11.98148421916867,11.976745394719996,30.006138009486875,0.16711962382095796,1.0,-1.0,0.0,48.0,-41.92425036918355,-6.075749630816459,0.0042003514449409415,0.0
0.00015,60.0,0.0,0,0.5,0.467307420582453,-0.467307420582453,0.0,0.0926552978139675,-11.982011669230285,11.976934502461361,30.007035445675722,0.18804195052779685,0.0,-1.0,0.0,0.0,-17.92161268816952,17.92161268816952,0.00450041721324658,0.0
0.00016,60.0,0.0,0,0.47058823529411764,0.445419807604671,-0.445419807604671,0.0,0.09883709570367549,-11.982547481773832,11.97713200922411,30.007953873180142,0.17932872120640128,0.0,-1.0,0.0,0.0,-17.91898720225919,17.91898720225919,0.004800492196145983,0.0
0.00017,60.0,0.0,0,0.4444444444444444,0.4235502731298777,-0.4235502731298777,0.0,0.10501945531923414,-11.983065873790942,11.977312148687746,30.008828729598093,0.17061351807150169,0.0,-1.0,0.0,0.0,-17.9163353579236,17.9163353579236,0.005100576145473222,0.0
0.00018,60.0,0.0,0,0.42105263157894735,0.4016988221664521,-0.4016988221664521,0.0,0.11120235022802981,-11.983566838083176,11.977474920358684,30.009660005092492,0.16189635392387822,0.0,-1.0,0.0,0.0,-17.913657164286256,17.913657164286256,0.005400668625468194,0.0
0.00019,60.0,0.0,0,0.4,0.37986545977509,-0.37986545977509,0.0,0.11738575398359813,-11.984050367482572,11.9776203237739,30.01044768989036,0.1531772415967055,0.0,-1.0,0.0,0.0,-17.910952630523386,17.910952630523386,0.0057007692002727425,0.0
0.0002,60.0,0.0,0,0.38095238095238093,0.3580501910687035,-0.3580501910687035,0.0,0.12356964012545243,-11.984516454851768,11.97774835850087,30.011191774282935,0.1444561939555461,0.0,-1.0,0.0,0.0,-17.908221765864027,17.908221765864027,0.0060008774339313075,0.0
0.00021,60.0,0.0,0,0.4090909090909091,0.40382171308480264,-0.40382171308480264,0.0,0.1297542210282242,-11.984986878152313,11.977880796125309,30.011946801030128,0.16300826922970654,1.0,-1.0,0.0,48.0,-41.90549712468735,-6.094502875312644,0.006300993035867722,0.0
0.00022,60.0,0.0,0,0.43478260869565216,0.4663996326383715,-0.4663996326383715,0.0,0.13594003854320041,-11.985506552374954,11.978062527227847,30.01282524556719,0.18836741262420356,1.0,-1.0,0.0,48.0,-41.90284578414372,-6.097154215856275,0.006601116790437608,0.0
0.00023,60.0,0.0,0,0.4583333333333333,0.5288802737075076,-0.5288802737075076,0.0,0.14212722034715092,-11.986076814240244,11.97829488681248,30.013830453791407,0.21371373704760843,1.0,-1.0,0.0,48.0,-41.90026968375902,-6.099730316240976,0.006901249963324713,0.0
0.00024,60.0,0.0,0,0.48,0.591263677622877,-0.591263677622877,0.0,0.14831588007429697,-11.986697638699937,11.978577848888982,30.014962361502448,0.23904720034953353,1.0,-1.0,0.0,48.0,-41.8977687282018,-6.102231271798198,0.007201393821845082,0.0
0.00025,60.0,0.0,0,0.46153846153846156,0.6467570879236796,-0.6467570879236796,0.0,0.15450612846558445,-11.98736878009254,11.978911167018028,30.01622035208534,0.2616200029743944,0.0,-1.0,0.0,0.0,-17.895342492831507,17.895342492831507,0.00750154963252374,0.0
0.00026,60.0,0.0,0,0.4444444444444444,0.6245060983217519,-0.6245060983217519,0.0,0.16069754626360006,-11.988051043146507,11.979255674163031,30.017506281498946,0.25275142811381907,0.0,-1.0,0.0,0.0,-17.89293242260448,17.89293242260448,0.0078017183026440565,0.0
0.00027,60.0,0.0,0,0.42857142857142855,0.6022734088325998,-0.6022734088325998,0.0,0.16688975382420992,-11.988715556505644,11.979582525020271,30.018747863033376,0.24388085339467028,0.0,-1.0,0.0,0.0,-17.89049542636099,17.89049542636099,0.008101899610327448,0.0
0.00028,60.0,0.0,0,0.41379310344827586,0.5800590243405621,-0.5800590243405621,0.0,0.17308272407068592,-11.989362312946696,11.979891719115235,30.019945086720703,0.23500829136722035,0.0,-1.0,0.0,0.0,-17.88803151355324,17.88803151355324,0.008402093112045228,0.0
0.00029,60.0,0.0,0,0.4,0.5578629497836425,-0.5578629497836425,0.0,0.1792764299099318,-11.989991305276634,11.980183256003189,30.021097942655835,0.22613375461568844,0.0,-1.0,0.0,0.0,-17.88554069368654,17.88554069368654,0.008702298364169348,0.0
0.0003,60.0,0.0,0,0.3870967741935484,0.5356851901534126,-0.5356851901534126,0.0,0.18547084423230958,-11.990602526332813,11.980457135269157,30.022206420996678,0.2172572557582377,0.0,-1.0,0.0,0.0,-17.88302297631941,17.88302297631941,0.009002514922973024,0.0
0.00031,60.0,0.0,0,0.40625,0.581094442258696,-0.581094442258696,0.0,0.1916662930101023,-11.991217871380432,11.980735239614297,30.023325350459004,0.23579687446249473,1.0,-1.0,0.0,48.0,-41.88051102879946,-6.119488971200539,0.009302742490870496,0.0
0.00032,60.0,0.0,0,0.42424242424242425,0.6433103118841944,-0.6433103118841944,0.0,0.1978635534739933,-11.991882497140699,11.981062688536841,30.024567795808807,0.26117909130084854,1.0,-1.0,0.0,48.0,-41.87807216037019,-6.121927839629807,0.009602981850842596,0.0
0.00033,60.0,0.0,0,0.4411764705882353,0.7054291216200563,-0.7054291216200563,0.0,0.20406276051530747,-11.992597747209095,11.981440823561513,30.025937119595802,0.28654824242094723,1.0,-1.0,0.0,48.0,-41.8757083169084,-6.124291683091595,0.00990323426971482,0.0
0.00034,60.0,0.0,0,0.45714285714285713,0.7674509114098772,-0.7674509114098772,0.0,0.21026402785262419,-11.993363596076868,11.98186961827474,30.027433256387777,0.311904286407799,1.0,-1.0,0.0,48.0,-41.87341940238686,-6.126580597613138,0.010203501015944551,0.0
0.00035,60.0,0.0,0,0.4444444444444444,0.8266585124315416,-0.8266585124315416,0.0,0.21646746852182272,-11.994179982677093,11.982349010750227,30.029056051728116,0.3361422896692485,0.0,-1.0,0.0,0.0,-17.87120526782786,17.87120526782786,0.010503783357324296,0.0
0.00036,60.0,0.0,0,0.43243243243243246,0.8040407716812271,-0.8040407716812271,0.0,0.22267251306389296,-11.995010436661346,11.98284256708101,30.030714197311493,0.3271156044611521,0.0,-1.0,0.0,0.0,-17.869011528879735,17.869011528879735,0.010804082246180685,0.0
0.00037,60.0,0.0,0,0.42105263157894735,0.7814415471534484,-0.7814415471534484,0.0,0.22887857557814703,-11.99582280665837,11.983318173206593,30.032327204390732,0.3180868900571638,0.0,-1.0,0.0,0.0,-17.866790288746703,17.866790288746703,0.011104397490808838,0.0
0.00038,60.0,0.0,0,0.41025641025641024,0.7588608436247375,-0.7588608436247375,0.0,0.2350856283346843,-11.996617085412463,11.983775828666353,30.033895062850554,0.3090561587465362,0.0,-1.0,0.0,0.0,-17.864541557205243,17.864541557205243,0.011404728639773092,0.0
0.00039,60.0,0.0,0,0.4,0.7362986659266484,-0.7362986659266484,0.0,0.24129364358459518,-11.997393265697886,11.984215533028648,30.035417762637227,0.30002342285407907,0.0,-1.0,0.0,0.0,-17.862265344085294,17.862265344085294,0.01170507524153693,0.0
0.0004,60.0,0.0,0,0.3902439024390244,0.7137550189456617,-0.7137550189456617,0.0,0.24750259355978346,-11.998151340319053,11.984637285890809,30.03689529375873,0.29098869474016,0.0,-1.0,0.0,0.0,-17.859961659270443,17.859961659270443,0.012005436844463613,0.0
0.00041,60.0,0.0,0,0.40476190476190477,0.7587985992774781,-0.7587985992774781,0.0,0.2537129191063582,-11.99891332194712,11.985063081134141,30.038382771094284,0.30951318851055293,1.0,-1.0,0.0,48.0,-41.857663282554526,-6.1423367174454775,0.012305813143819481,0.0
0.00042,60.0,0.0,0,0.4186046511627907,0.8206490116873496,-0.8206490116873496,0.0,0.2599256354961831,-11.999724609259186,11.985538267325458,30.03999384920881,0.33491584277591485,1.0,-1.0,0.0,48.0,-41.85543775420696,-6.144562245793043,0.012606204921076601,0.0
0.00043,60.0,0.0,0,0.4318181818181818,0.8824025773859691,-0.8824025773859691,0.0,0.26614088494232596,-12.000586552736442,11.986064192531172,30.041731907342758,0.3603051894772184,1.0,-1.0,0.0,48.0,-41.853287026428234,-6.1467129735717645,0.012906613444070411,0.0
0.00044,60.0,0.0,0,0.4444444444444444,0.9440593349383146,-0.9440593349383146,0.0,0.27235878127488183,-12.001499126413584,11.986640829931053,30.043596878856462,0.38568118791443423,1.0,-1.0,0.0,48.0,-41.851211002500406,-6.1487889974995955,0.013207039982268078,0.0
0.00045,60.0,0.0,0,0.45652173913043476,1.005619322702231,-1.005619322702231,0.0,0.2785794382873189,-12.002462304243208,11.987268152635272,30.04558869690731,0.41104379760322707,1.0,-1.0,0.0,48.0,-41.849209585613224,-6.1507904143867815,0.013507485804469354,0.0
0.00046,60.0,0.0,0,0.44680851063829785,0.9839900507965665,-0.9839900507965665,0.0,0.2848021717591693,-12.003442666446063,11.987912783544255,30.047623702162372,0.4024115445001412,0.0,-1.0,0.0,0.0,-17.8472330308877,17.8472330308877,0.01380795190463595,0.0
0.00047,60.0,0.0,0,0.4375,0.9610208566840277,-0.9610208566840277,0.0,0.29102615185616487,-12.004404614061352,11.988539174268965,30.049612786594817,0.3932218858151947,0.0,-1.0,0.0,0.0,-17.845228405371557,17.845228405371557,0.01410843812536998,0.0
0.00048,60.0,0.0,0,0.42857142857142855,0.9380703940905171,-0.9380703940905171,0.0,0.29725134997880387,-12.005348130876442,11.9891473154519,30.051555917603928,0.3840301771723983,0.0,-1.0,0.0,0.0,-17.84319570590072,17.84319570590072,0.01440894400718976,0.0
