time_s,speed_target_rad_s,load_torque_Nm,effective_duty,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad
0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.976664369760206,11.976664369760206,30.0,0.0,0.0,0.0,0.0,11.976664369760206,-23.953328739520412,11.976664369760206,0.0
1e-05,60.0,0.0,0.5,0.050704009412945464,-0.050704009412945464,0.0,0.006174656653769459,-11.976849813669654,11.976511269539179,30.000040508384078,0.020252885504239,1.0,-1.0,0.0,48.0,-41.961848848047126,-6.038151151952878,0.0003000001080258407
2e-05,60.0,0.0,0.6666666666666666,0.11399602518968019,-0.11399602518968019,0.0,0.012349411366932603,-11.977084770704803,11.976407682313118,30.000205040592988,0.04555794999334601,1.0,-1.0,0.0,48.0,-41.95877536198205,-6.041224638017946,0.0006000012303329543
3e-05,60.0,0.0,0.5,0.12699231119024743,-0.12699231119024743,0.0,0.018524358079561286,-11.977358322228955,11.976342689540788,30.000466246950758,0.05077870636408109,0.0,-1.0,0.0,0.0,-17.955759671615485,17.955759671615485,0.0009000045714160134
4e-05,60.0,0.0,0.4,0.10570817500048407,-0.10570817500048407,0.0,0.024699469062684956,-11.977620479544159,11.976266309290857,30.00069892065842,0.04229045932878181,0.0,-1.0,0.0,0.0,-17.952726814531594,17.952726814531594,0.0012000104326217562
5e-05,60.0,0.0,0.3333333333333333,0.08444178659635436,-0.08444178659635436,0.0,0.03087471348799321,-11.977865684687991,11.976172990537531,30.00088914838136,0.03380031468329019,0.0,-1.0,0.0,0.0,-17.94966847613753,17.94966847613753,0.0015000184083425589
6e-05,60.0,0.0,0.2857142857142857,0.06319315136632728,-0.06319315136632728,0.0,0.037050065852942876,-11.978093930585711,11.976062732850554,30.001036920664667,0.025308285685691715,0.0,-1.0,0.0,0.0,-17.94658466521694,17.94658466521694,0.001800028074071244
7e-05,60.0,0.0,0.25,0.04196227474881235,-0.04196227474881235,0.0,0.04322550064421056,-11.978305210193843,11.975935535831209,30.00114222811978,0.016814385624179837,0.0,-1.0,0.0,0.0,-17.943475390606025,17.943475390606025,0.0021000390052064175
8e-05,60.0,0.0,0.2222222222222222,0.0207491622320553,-0.0207491622320553,0.0,0.049400992337525915,-11.97849951650034,11.975791399112271,30.00120506142466,0.008318627817046965,0.0,-1.0,0.0,0.0,-17.940340661193677,17.940340661193677,0.002400050777053132
9e-05,60.0,0.0,0.2,0.0,0.0,0.0,0.05557651541497409,-11.978676846287003,11.975630326119305,30.00122542074673,0.0,0.0,-1.0,0.0,12.034253361701976,-23.95430717240631,11.920053810704331,0.002700062964824213
0.0001,60.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.061752091425560734,-11.978846026226437,11.975461147587852,30.00122542074673,0.0,0.0,-1.0,0.0,12.040598117651998,-23.95430717381429,11.913709056162292,0.00300007521903168
0.00011,60.0,0.0,0.25,0.05061401024613859,-0.05061401024613859,0.0,0.06792785624862095,-11.979031413979081,11.975308218974488,30.001266071346357,0.020323972944610993,1.0,-1.0,0.0,48.0,-41.93085999783972,-6.06914000216028,0.003300087581644283
0.00012,60.0,0.0,0.3076923076923077,0.1137936631863993,-0.1137936631863993,0.0,0.07410407016730844,-11.979266472214373,11.975204993928338,30.001431180791354,0.04571772524768164,1.0,-1.0,0.0,48.0,-41.92778619495187,-6.072213805048127,0.0036001009620976673
0.00013,60.0,0.0,0.2857142857142857,0.12870074578613086,-0.12870074578613086,0.0,0.08028077726821904,-11.979541166563559,11.975141440912804,30.00169561768734,0.051734011903782504,0.0,-1.0,0.0,0.0,-17.924771635560475,17.924771635560475,0.003900116575898346
0.00014,60.0,0.0,0.26666666666666666,0.10730178180445711,-0.10730178180445711,0.0,0.08645769050174204,-11.979804968547295,11.975067052427445,30.00193284082954,0.04315493571382682,0.0,-1.0,0.0,0.0,-17.92174069145022,17.92174069145022,0.0042001347539370815
