time_s,speed_target_rad_s,load_torque_Nm,effective_duty,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad
0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.976664369760206,11.976664369760206,30.0,0.0,0.0,0.0,0.0,11.976664369760206,-23.953328739520412,11.976664369760206,0.0
1e-05,45.0,0.0,0.5,0.050704009412945464,-0.050704009412945464,0.0,0.006174656653769459,-11.976849813669654,11.976511269539179,30.000040508384078,0.020252885504239,1.0,-1.0,0.0,48.0,-41.961848848047126,-6.038151151952878,0.0003000001080258407
2e-05,45.0,0.0,0.3333333333333333,0.046548607120707255,-0.046548607120707255,0.0,0.012349386265631663,-11.977063285696337,11.976386198680895,30.000151225140673,0.01860292156152522,0.0,-1.0,0.0,0.0,-17.95874314839625,17.95874314839625,0.0006000010870798571
3e-05,45.0,0.0,0.25,0.02538573769522539,-0.02538573769522539,0.0,0.018524175482304873,-11.97726125151234,11.976245628835326,30.00022310986005,0.010150653252902223,0.0,-1.0,0.0,0.0,-17.955614166850342,17.955614166850342,0.0009000029939726462
4e-05,45.0,0.0,0.2,0.004240564021104072,-0.004240564021104072,0.0,0.02469899830269281,-11.977442336870554,11.976088192426618,30.00025272855496,0.0016965139988203426,0.0,-1.0,0.0,0.0,-17.95245986171055,17.95245986171055,0.0012000054083903021
5e-05,45.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.03087384401471878,-11.977611927705258,11.975919281221804,30.000253579558375,0.0,0.0,-1.0,0.0,12.008485771719977,-23.95353120892706,11.945045437207085,0.0015000079436167156
6e-05,45.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.03704873630947098,-11.977781167025492,11.975750042176273,30.000253579558375,0.0,0.0,-1.0,0.0,12.014829903334963,-23.953531209201763,11.938701305866802,0.0018000104794122995
7e-05,45.0,0.0,0.125,0.0,0.0,0.0,0.04322368532906544,-11.977950392253206,11.975580817400928,30.000253579558375,0.0,0.0,-1.0,0.0,12.021174077582272,-23.953531209654134,11.932357132071862,0.002100013015207883
8e-05,45.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.04939870052608004,-11.978119601057113,11.975411609290921,30.000253579558375,0.0,0.0,-1.0,0.0,12.027518301583193,-23.953531210348032,11.926012908764841,0.0024000155510034674
9e-05,45.0,0.0,0.1,0.0,0.0,0.0,0.05557379135236003,-11.978288791110975,11.975242420246165,30.000253579558375,0.0,0.0,-1.0,0.0,12.033862582463335,-23.953531211357138,11.919668628893804,0.0027000180867990512
0.0001,45.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.06174896725891343,-11.978457960093657,11.975073252671297,30.000253579558375,0.0,0.0,-1.0,0.0,12.04020692735257,-23.953531212764954,11.913324285412385,0.003000020622594635
0.00011,45.0,0.0,0.16666666666666666,0.050614561264558065,-0.050614561264558065,0.0,0.06792433196618315,-11.978643337067101,11.974920335186665,30.00029423059607,0.02032419191042764,1.0,-1.0,0.0,48.0,-41.93027983773713,-6.069720162262874,0.0033000232667965237
0.00012,45.0,0.0,0.15384615384615385,0.04735994600013386,-0.04735994600013386,0.0,0.0741000132771758,-11.978857427149165,11.974796171149961,30.000406854045593,0.019027322405913517,0.0,-1.0,0.0,0.0,-17.927174878085953,17.927174878085953,0.003600026791229709
0.00013,45.0,0.0,0.14285714285714285,0.026084169278518178,-0.026084169278518178,0.0,0.08027576997719581,-11.979055981730768,11.974656530416693,30.000480635830804,0.010485087042961258,0.0,-1.0,0.0,0.0,-17.924046636293475,17.924046636293475,0.0039000312642717386
0.00014,45.0,0.0,0.13333333333333333,0.004826239892579464,-0.004826239892579464,0.0,0.0864515676291116,-11.9792374506941,11.974499869997631,30.0005117018808,0.0019410305480902427,0.0,-1.0,0.0,0.0,-17.920892811530127,17.920892811530127,0.004200036261560533
0.00015,45.0,0.0,0.125,0.0,0.0,0.0,0.09262742055435198,-11.979406922740413,11.974331283049192,30.000512804149892,0.0,0.0,-1.0,0.0,12.072034343294765,-23.953738205789605,11.88170386249484,0.0045000413887674295
0.00016,45.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.09880341208720751,-11.979575919758972,11.974162292133846,30.000512804149892,0.0,0.0,-1.0,0.0,12.078379331846179,-23.95373821189282,11.875358880046639,0.0048000465168089295
0.00017,45.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.10497955482941736,-11.979744879601562,11.973993339652443,30.000512804149892,0.0,0.0,-1.0,0.0,12.08472443443098,-23.953738219254006,11.869013784823025,0.005100051644850429
0.00018,45.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.11115585822185178,-11.979913799988422,11.973824428046706,30.000512804149892,0.0,0.0,-1.0,0.0,12.091069658210273,-23.953738228035128,11.862668569824855,0.005400056772891928
0.00019,45.0,0.0,0.1,0.0,0.0,0.0,0.11733233170360251,-11.980082678645084,11.973655559762875,30.000512804149892,0.0,0.0,-1.0,0.0,12.097415010348687,-23.953738238407958,11.856323228059273,0.005700061900933427
0.0002,45.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.12350898471187803,-11.980251513302365,11.973486737251687,30.000512804149892,0.0,0.0,-1.0,0.0,12.103760498014243,-23.953738250554053,11.84997775253981,0.006000067028974926
0.00021,45.0,0.0,0.13636363636363635,0.050525097008217536,-0.050525097008217536,0.0,0.12968600526095134,-11.980436592035057,11.973334243527272,30.000553597099138,0.020395127610876872,1.0,-1.0,0.0,48.0,-41.89870953691433,-6.101290463085675,0.006300072265801214
0.00022,45.0,0.0,0.13043478260869565,0.04817120824183026,-0.04817120824183026,0.0,0.13586359319831606,-11.980651065609715,11.973211223652873,30.00066811657703,0.019455138416471535,0.0,-1.0,0.0,0.0,-17.895604959858574,17.895604959858574,0.006600078391917322
