scenario,antiwindup,final_speed_rad_s,tail_abs_error_rad_s,peak_speed_rad_s,post_step_high_saturation_fraction,peak_phase_current_A,result
speed_step_aw,1,57.07552136738412,2.1686058544089635,64.84269107676089,0.003583034747104408,11.627731503903396,PASS
load_step_aw,1,54.71693758705036,6.978958844678679,64.43891184469116,0,14.641564208810872,PASS
recovery_aw,1,47.59515793245302,7.592565776446667,75.04446293872417,0.00039996000399960006,17.62518677283078,PASS
recovery_no_aw,0,58.33923269835022,21.10133213753143,75.04446293872417,0.656034396560344,17.62518677283078,PASS
