time_s,speed_target_rad_s,load_torque_Nm,effective_duty,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad
0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.976664369760206,11.976664369760206,30.0,0.0,0.0,0.0,0.0,11.976664369760206,-23.953328739520412,11.976664369760206,0.0
1e-05,200.0,0.0,0.5,0.050704009412945464,-0.050704009412945464,0.0,0.006174656653769459,-11.976849813669654,11.976511269539179,30.000040508384078,0.020252885504239,1.0,-1.0,0.0,48.0,-41.961848848047126,-6.038151151952878,0.0003000001080258407
2e-05,200.0,0.0,0.6666666666666666,0.11399602518968019,-0.11399602518968019,0.0,0.012349411366932603,-11.977084770704803,11.976407682313118,30.000205040592988,0.04555794999334601,1.0,-1.0,0.0,48.0,-41.95877536198205,-6.041224638017946,0.0006000012303329543
3e-05,200.0,0.0,0.75,0.17719030902716773,-0.17719030902716773,0.0,0.018524377708565326,-11.977370227737548,11.976354593973186,30.00049606736684,0.07085070418246896,1.0,-1.0,0.0,48.0,-41.955777518987674,-6.044222481012325,0.0009000046304862746
4e-05,200.0,0.0,0.8,0.24028690505656192,-0.24028690505656192,0.0,0.02469966922233703,-11.97770616065313,11.976351979426004,30.000913527044833,0.09613110439099667,1.0,-1.0,0.0,48.0,-41.952855225141406,-6.047144774858598,0.0012000115731233291
5e-05,200.0,0.0,0.8333333333333334,0.3032858571915542,-0.3032858571915542,0.0,0.030875399393283792,-11.978092545252562,11.976399813498327,30.001457357748357,0.12139910717161106,1.0,-1.0,0.0,48.0,-41.95000838642797,-6.049991613572033,0.0015000233222639471
6e-05,200.0,0.0,0.8571428571428571,0.3661872091289201,-0.3661872091289201,0.0,0.03705168164932554,-11.978529357252958,11.976498070937652,30.002127497382133,0.14665466930909882,1.0,-1.0,0.0,48.0,-41.94723690873947,-6.052763091260527,0.001800041141308088
7e-05,200.0,0.0,0.875,0.4289910043490616,-0.4289910043490616,0.0,0.043228629362782475,-11.979016572287843,11.976646726412854,30.00292388363539,0.171897747819166,1.0,-1.0,0.0,48.0,-41.94454069787538,-6.055459302124621,0.0021000662930336783
8e-05,200.0,0.0,0.8888888888888888,0.49169728611654684,-0.49169728611654684,0.0,0.049406355851890675,-11.979554165907452,11.976845754514788,30.00384645398301,0.19712829994725511,1.0,-1.0,0.0,48.0,-41.94191965954258,-6.058080340457428,0.002400100039594467
9e-05,200.0,0.0,0.8,0.5543060974806433,-0.5543060974806433,0.0,0.05558497438231677,-11.980142113579046,11.977095129756918,30.004895145686675,0.22234628316736452,0.0,-1.0,0.0,0.0,-17.939373699355283,17.939373699355283,0.0027001436425178825
0.0001,200.0,0.0,0.7272727272727273,0.5323681593354556,-0.5323681593354556,0.0,0.06176441793254474,-11.980746557260133,11.977361003028117,30.005985159796733,0.2136590206086664,0.0,-1.0,0.0,0.0,-17.93685207269191,17.93685207269191,0.0030001980802422277
0.00011,200.0,0.0,0.75,0.5780169436237244,-0.5780169436237244,0.0,0.06794465232271911,-11.981355318219544,11.977631202729006,30.007085998976976,0.23210182894852624,1.0,-1.0,0.0,48.0,-41.934336535677424,-6.065663464322583,0.003300263345622744
0.00012,200.0,0.0,0.7692307692307693,0.6404720576189035,-0.6404720576189035,0.0,0.07412598617322415,-11.982013069614228,11.977950390361801,30.008309548999172,0.25731606691778286,1.0,-1.0,0.0,48.0,-41.9318939320823,-6.0681060679177,0.0036003402183032974
0.00013,200.0,0.0,0.7857142857142857,0.7028298261152148,-0.7028298261152148,0.0,0.08030853961416239,-11.982721141017798,11.97831989418201,30.009659138481116,0.2825176058727586,1.0,-1.0,0.0,48.0,-41.92952619488382,-6.070473805116171,0.0039004299567342833
0.00014,200.0,0.0,0.8,0.7650902912605247,-0.7650902912605247,0.0,0.08649242579288145,-11.983479507567049,11.978739688395352,30.011134703823302,0.307706404077559,1.0,-1.0,0.0,48.0,-41.927233229282436,-6.0727667707175605,0.004200533820992477
0.00015,200.0,0.0,0.8125,0.8272534949899449,-0.8272534949899449,0.0,0.09267775781105134,-11.984288144317055,11.979209747133005,30.01273618121811,0.3328824200194726,1.0,-1.0,0.0,48.0,-41.925014940386006,-6.074985059613992,0.004500653070517615
0.00016,200.0,0.0,0.8235294117647058,0.889319479026346,-0.889319479026346,0.0,0.0988646487261764,-11.985147026241474,11.979730044452223,30.014463506650902,0.3580456124078043,1.0,-1.0,0.0,48.0,-41.922871233209875,-6.077128766790125,0.004800788964110322
0.00017,200.0,0.0,0.8333333333333334,0.9512882848808656,-0.9512882848808656,0.0,0.10505321155310625,-11.986056128232834,11.980300554336926,30.016316615901143,0.38319594017271025,1.0,-1.0,0.0,48.0,-41.92080201267679,-6.0791979873232105,0.0051009427599300475
0.00018,200.0,0.0,0.8421052631578947,1.013159953853415,-1.013159953853415,0.0,0.11124355926554606,-11.987015425102838,11.980921250698312,30.018295444543494,0.40833336246403723,1.0,-1.0,0.0,48.0,-41.91880718361696,-6.081192816383037,0.005401115715493008
0.00019,200.0,0.0,0.8,1.0749345270331805,-1.0749345270331805,0.0,0.117435804797566,-11.98802489158266,11.98159210737544,30.020399927948926,0.43345783865016246,0.0,-1.0,0.0,0.0,-17.916886650767985,17.916886650767985,0.0057013090876701505
0.0002,200.0,0.0,0.7619047619047619,1.0521627235696693,-1.0521627235696693,0.0,0.1236297044207476,-11.989050485698534,11.98227910104333,30.02254481848997,0.42449801159811507,0.0,-1.0,0.0,0.0,-17.914989491682224,17.914989491682224,0.006001523848734959
