time_s,speed_target_rad_s,load_torque_Nm,effective_duty,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V,mechanical_angle_rad
0.08903,200.0,0.0,0.88,5.552824898517155,-6.748476133833149,1.195651235315994,-23.56643618370452,-4.007992190659397,23.731975306861035,59.22826973872166,-1.273670304865918,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9509503486479453
0.08904,200.0,0.0,0.88,5.567341871783793,-6.785936065762167,1.2185941939783738,-23.563784845643006,-4.033357334805575,23.729748270519284,59.22192368953455,-1.26474458935386,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9503580977179946
0.08905,200.0,0.0,0.88,5.58180047181719,-6.82328484482969,1.2414843730125,-23.561157873261525,-4.058736426528643,23.727535729322817,59.21562234049555,-1.255790273377494,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9497659100251532
0.08906,200.0,0.0,0.88,5.596200836162951,-6.860522601496972,1.2643217653340209,-23.558555353079562,-4.084129608773235,23.725337740247447,59.209365834190635,-1.2468075234769458,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9491737851217081
0.08907,200.0,0.0,0.88,5.610543102280722,-6.8976494657471195,1.287106363466397,-23.555977371094087,-4.109537023928604,23.723154360113462,59.203154312373165,-1.23779650614985,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9485817225585216
0.08908,200.0,0.0,0.88,5.624827407543469,-6.934665567086418,1.309838159542949,-23.553424012778123,-4.134958813825949,23.72098564558456,59.19698791596408,-1.2287573878540936,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9479897218850419
0.08909,200.0,0.0,0.88,5.639053889236759,-6.971571034545668,1.3325171453089084,-23.550895363079245,-4.16039511973552,23.718831653166895,59.19086678505219,-1.2196903350105672,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9473977826493164
0.0891,200.0,0.0,0.88,5.709522167081382,-6.9520664455309,1.242544278449517,-23.548320374554546,-4.18583341223385,23.716620798583232,59.184612281102496,-1.2820986868418216,0.0,-1.0,0.0,0.0,0.0,0.0,-0.946805904993951
0.08911,200.0,0.0,0.88,5.734809799010054,-6.977574200286911,1.2427644012768575,-23.545673609252308,-4.211268914827322,23.71432742836598,59.17816039497135,-1.2872011561606338,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9462140911379361
0.08912,200.0,0.0,0.88,5.748770435650238,-7.014240798702477,1.2654703630522388,-23.543049132857576,-4.236718315826735,23.71204625068167,59.17174747190527,-1.277963450629764,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9456223416370914
0.08913,200.0,0.0,0.88,5.762673360304984,-7.050797224160917,1.2881238638559334,-23.540449875864486,-4.262182260297726,23.709780189863555,59.16538080652175,-1.2686981110725464,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.945030656034305
0.08914,200.0,0.0,0.88,5.776518711648031,-7.087243604663216,1.3107248930151847,-23.537875920995102,-4.287660886830599,23.707529302498315,59.15906053657198,-1.2594053050621494,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9444390338663099
0.08915,200.0,0.0,0.88,5.790306628261252,-7.123580067741547,1.3332734394802948,-23.535327350432734,-4.31315433343922,23.70529364500597,59.152786798969316,-1.2500852001456209,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9438474746684661
0.08916,200.0,0.0,0.88,5.804037248634028,-7.159806740460951,1.3557694918269227,-23.53280424582045,-4.338662737558854,23.703073273638843,59.14655972978947,-1.2407379638463687,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9432559779747681
0.08917,200.0,0.0,0.88,5.817710711162503,-7.195923749420648,1.3782130382581446,-23.53030668825963,-4.364186236043442,23.70086824448044,59.14037946427063,-1.231363763666777,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9426645433178571
0.08918,200.0,0.0,0.88,5.831327154149061,-7.231931220755981,1.4006040666069193,-23.527834758308373,-4.389724965163635,23.698678613444393,59.134246136813466,-1.221962767090583,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9420731702290228
0.08919,200.0,0.0,0.88,5.8448867158015965,-7.267829280139792,1.422942564338196,-23.525388535980063,-4.4152790606042345,23.696504436273333,59.12815988098125,-1.2125351415854249,0.0,-1.0,0.0,0.0,0.0,0.0,-0.9414818582382147
0.0892,200.0,0.0,0.88,5.914689016804671,-7.247318502267599,1.3326294854629284,-23.522896719769612,-4.440835155274358,23.694273867238902,59.12194142206749,-1.2748360808270576,0.0,-1.0,0.0,0.0,0.0,0.0,-0.9408906074721125
0.08921,200.0,0.0,0.88,5.939311616087669,-7.2718212870337995,1.3325096709461306,-23.52033377623166,-4.466388164708465,23.69196115886751,59.11552651809567,-1.2796307868140557,0.0,-1.0,1.0,0.0,-48.0,48.0,-0.9402994201411602
