time_s,mechanical_angle_rad,mechanical_angle_unwrapped_rad,electrical_angle_rad,electrical_angle_wrapped_rad,speed_rad_s,ia_A,ib_A,ic_A
0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
0.0001,0.010000000000000005,0.010000000000000005,0.010000000000000005,0.010000000000000005,100.0,0.0,0.0,0.0
0.0002,0.020000000000000014,0.020000000000000014,0.020000000000000014,0.020000000000000014,100.0,0.0,0.0,0.0
0.00030000000000000003,0.030000000000000016,0.030000000000000016,0.030000000000000016,0.030000000000000016,100.0,0.0,0.0,0.0
0.0004,0.039999999999999994,0.039999999999999994,0.039999999999999994,0.039999999999999994,100.0,0.0,0.0,0.0
0.0005,0.04999999999999999,0.04999999999999999,0.04999999999999999,0.04999999999999999,100.0,0.0,0.0,0.0
0.0006000000000000001,0.059999999999999984,0.059999999999999984,0.059999999999999984,0.059999999999999984,100.0,0.0,0.0,0.0
0.0007,0.06999999999999995,0.06999999999999995,0.06999999999999995,0.06999999999999995,100.0,0.0,0.0,0.0
0.0008,0.07999999999999996,0.07999999999999996,0.07999999999999996,0.07999999999999996,100.0,0.0,0.0,0.0
0.0009000000000000001,0.08999999999999997,0.08999999999999997,0.08999999999999997,0.08999999999999997,100.0,0.0,0.0,0.0
0.001,0.09999999999999998,0.09999999999999998,0.09999999999999998,0.09999999999999998,100.0,0.0,0.0,0.0
0.0011,0.10999999999999999,0.10999999999999999,0.10999999999999999,0.10999999999999999,100.0,0.0,0.0,0.0
0.0012000000000000001,0.12,0.12,0.12,0.12,100.0,0.0,0.0,0.0
0.0013000000000000002,0.12999999999999998,0.12999999999999998,0.12999999999999998,0.12999999999999998,100.0,0.0,0.0,0.0
0.0014,0.13999999999999993,0.13999999999999993,0.13999999999999993,0.13999999999999993,100.0,0.0,0.0,0.0
0.0015,0.1499999999999999,0.1499999999999999,0.1499999999999999,0.1499999999999999,100.0,0.0,0.0,0.0
0.0016,0.1599999999999999,0.1599999999999999,0.1599999999999999,0.1599999999999999,100.0,0.0,0.0,0.0
0.0017000000000000001,0.16999999999999987,0.16999999999999987,0.16999999999999987,0.16999999999999987,100.0,0.0,0.0,0.0
0.0018000000000000002,0.17999999999999985,0.17999999999999985,0.17999999999999985,0.17999999999999985,100.0,0.0,0.0,0.0
0.0019,0.1899999999999998,0.1899999999999998,0.1899999999999998,0.1899999999999998,100.0,0.0,0.0,0.0
