time_s,command_frequency_Hz,command_electrical_angle_rad,mechanical_angle_raw_rad,rotor_angle_unwrapped_rad,phase_error_rad,phase_error_unwrapped_rad,load_torque_Nm,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V
0.102,8.379999999999999,2.416387405435125,-2.4679473108620944,3.815237996317492,-1.398850590882367,-1.398850590882367,0.0,8.419675237814076,27.004619397155103,-35.42429463496918,-20.447106790699568,20.171141270568487,-14.850562526930196,50.45450202107417,17.810634542800955,0.0,1.0,-1.0,-48.0,48.0,0.0
0.1025,8.424999999999999,2.4427846377069127,-2.441630263648925,3.8415550435306614,-1.3987704058237487,-1.3987704058237487,0.0,7.908501631546017,26.21907935811891,-34.12758098966493,-22.198999081218112,21.89962006514523,-14.996343069664176,54.764216254861,16.62428554386822,0.0,1.0,-1.0,-48.0,48.0,0.0
0.103,8.469999999999999,2.469323241648113,-2.4132375556841876,3.8699477514953986,-1.4006245098472858,-1.4006245098472858,0.0,7.718282344035579,25.205602582167167,-32.923884926202746,-23.77625452274939,23.501200229408326,-14.721954675027078,58.74764795607864,15.2100388763407,0.0,1.0,-1.0,-48.0,48.0,0.0
0.1035,8.514999999999999,2.4960032172587243,-2.382945360015164,3.900239947164422,-1.4042367299056977,-1.4042367299056977,0.0,7.823049257642161,24.029271485560233,-31.852320743202394,-25.16111542900847,24.95648343168126,-14.02729185213597,62.35509474440483,13.626012004983536,0.0,1.0,-1.0,-48.0,48.0,0.0
0.104,8.559999999999999,2.5228245645387473,-2.3509510997246488,3.9322342074549375,-1.4094096429161902,-1.4094096429161902,0.0,8.195574421834092,22.752473661582542,-30.948048083416634,-26.35104166541456,26.25074420967095,-12.943204016882747,65.55114929184035,11.927698474861176,0.0,1.0,-1.0,-48.0,48.0,0.0
0.1045,8.605,2.5497872834881816,-2.317466554826433,3.9657187523531534,-1.4159314688649718,-1.4159314688649718,0.0,8.80758375464935,21.432135738913406,-30.239719493562756,-27.35560819271309,27.372884727604138,-11.528034959338997,68.31350867264999,10.163833298923006,0.0,1.0,-1.0,-48.0,48.0,0.0
0.105,8.649999999999999,2.5768913741070274,-2.282711800403265,4.000473506776322,-1.4235821326692943,-1.4235821326692943,0.0,9.629741420848887,20.117868828287666,-29.747610249136553,-28.1909288407044,28.314384374044813,-9.858833522146185,70.63089367799677,8.373537725084578,0.0,1.0,-1.0,-48.0,48.0,0.0
0.1055,8.695,2.6041368363952846,-2.246910327600362,4.036274979579224,-1.432138143183939,-1.432138143183939,0.0,10.631507243243476,18.851299965371854,-29.48280720861533,-28.8732434868294,29.068735869779545,-8.01876611751498,72.5004725940789,6.585241180371041,0.0,1.0,-1.0,-48.0,48.0,0.0
0.106,8.739999999999998,2.631523670352954,-2.2102854837077905,4.072899823471795,-1.4413761531188412,-1.4413761531188412,0.0,11.781066885217161,17.666562769578658,-29.44762965479582,-29.413587386710713,29.631702708858665,-6.083653682841285,73.92522990544697,4.817246785628626,0.0,1.0,-1.0,-48.0,48.0,0.0
0.1065,8.785,2.6590518759800346,-2.173058167279627,4.110127139899959,-1.451075263919924,-1.451075263919924,0.0,13.045540647269632,16.591618404227304,-29.637159051496937,-29.8150056254344,30.002344906697207,-4.11114247094028,74.91162031973745,3.079324308415722,0.0,1.0,-1.0,-48.0,48.0,0.0
0.107,8.829999999999998,2.6867214532765265,-2.1354455867950026,4.147739720384584,-1.4610182671080572,-1.4610182671080572,0.0,14.391570034047678,15.649886912151572,-30.04145694619925,-30.07279423338278,30.184295038129097,-2.1354903003580055,75.46767353069247,1.3746192853758163,0.0,1.0,-1.0,-48.0,48.0,0.0
0.1075,8.875,2.7145324022424306,-2.097660848720046,4.18552445845954,-1.470992056217109,-1.470992056217109,0.0,15.78619845384251,14.861657856195992,-30.647856310038502,-30.17717747958175,30.186462150424674,-0.16939314341107575,75.60156703722774,-0.29854544378161035,0.0,1.0,-1.0,-48.0,48.0,0.0
0.108,8.92,2.742484722877746,-2.0599131495003093,4.223272157679277,-1.4807874348015315,-1.4807874348015315,0.0,17.197786219526904,14.244913548675646,-31.44269976820255,-30.11710956582989,30.022398103287095,1.787830593644036,75.32063369015823,-1.9449566443233648,0.0,1.0,-1.0,-48.0,48.0,0.0
0.1085,8.965,2.770578415182473,-2.0224083537775552,4.260776953402031,-1.4901985382195582,-1.4901985382195582,0.0,18.596620493374342,13.81546410221588,-32.41208459559022,-29.883765302899963,29.708023326354912,3.7383264360246815,74.63081913152266,-3.5705606374064303,0.0,1.0,-1.0,-48.0,48.0,0.0
0.109,9.01,2.798813479156611,-1.9853497116506145,4.297835595528972,-1.4990221163723612,-1.4990221163723612,0.0,19.954949789655448,13.586552108373706,-33.54150189802915,-29.4727196042482,29.258118228753258,5.673798670980028,73.53669129843898,-5.1799640985377025,0.0,1.0,-1.0,-48.0,48.0,0.0
0.1095,9.055,2.8271899148001607,-1.9489384026112138,4.3342469045683725,-1.5070569897682118,-1.5070569897682118,0.0,21.246375588591217,13.568240373814685,-34.8146159624059,-28.884537996426435,28.682641516812613,7.567258919481179,72.04214701372024,-6.773395876108957,0.0,1.0,-1.0,-48.0,48.0,0.0
0.11,9.1,2.855707722113122,-1.9133735313136337,4.369811775865952,-1.5141040537528303,-1.5141040537528303,0.0,22.44479374480107,13.766905663393057,-36.21169940819413,-28.12416152133101,27.98423046946661,9.370852682445083,70.15190128244981,-8.343597728513046,0.0,1.0,-1.0,-48.0,48.0,0.0
0.1105,9.145,2.8843669010954947,-1.8788511952356985,4.4043341119438875,-1.5199672108483928,-1.5199672108483928,0.0,23.52328997143378,14.185046176646555,-37.708336148080335,-27.19981316369758,27.157999380933408,11.020288804850177,67.87367923757809,-9.873464635548913,0.0,1.0,-1.0,-48.0,48.0,0.0
0.111,9.19,2.913167451747279,-1.8455623385339008,4.437622968645686,-1.5244555168984064,-1.5244555168984064,0.0,24.453467508319278,14.821438989483964,-39.274906497803244,-26.12211015459306,26.19402848302252,12.444453768181983,65.22081172477931,-11.335304107306236,0.0,1.0,-1.0,-48.0,48.0,0.0
0.1115,9.235,2.942109374068475,-1.8136893053090155,4.469496001870571,-1.5273866278020956,-1.5273866278020956,0.0,25.205585819043925,15.671536270551329,-40.877122089595254,-24.903746484258686,25.08198830215801,13.577408002453565,62.21475158752145,-12.692256647132629,0.0,1.0,-1.0,-48.0,48.0,0.0
0.112,9.28,2.9711926680590826,-1.7834012691962071,4.499784037983379,-1.5285913699242966,-1.5285913699242966,0.0,25.749650307898037,16.7279224404761,-42.477572748374136,-23.55971557161139,23.81655372928873,14.369526520595866,58.88696423500128,-13.901813287757854,0.0,1.0,-1.0,-48.0,48.0,0.0
