time_s,command_frequency_Hz,command_electrical_angle_rad,mechanical_angle_raw_rad,rotor_angle_unwrapped_rad,phase_error_rad,phase_error_unwrapped_rad,load_torque_Nm,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V
0.267,24.76,23.09296795059557,-2.6175489802432694,9.948821634115903,0.5777757021204918,13.144146316479665,8.0,-10.943385612985818,-0.819114723846986,11.762500336832804,-21.597664830450086,22.708017222386985,-21.579523513742004,56.81895336185261,-0.6349650449544333,-1.0,0.0,1.0,-48.0,0.0,48.0
0.2675,24.8,23.17081661655152,-2.5897099739636587,9.976660640395513,0.6277853617968332,13.194155976156006,8.0,-13.156643471916574,-2.9630929342947327,16.119736406211306,-21.190058001054823,21.77317834022728,-20.082846485742593,54.479814548285304,-2.0091130113433504,-1.0,0.0,1.0,-48.0,0.0,48.0
0.268,24.840000000000003,23.248790946213624,-2.563117806079199,10.003252808279974,0.6791675235744771,13.24553813793365,8.0,-15.254211184830613,-4.731616488789734,19.985827673620346,-20.500659871740538,20.721807992248124,-18.449325011638848,51.84878116967179,-2.9711649948886603,-1.0,0.0,1.0,-48.0,0.0,48.0
0.2685,24.880000000000003,23.326890939581865,-2.537892877185461,10.028477737173711,0.7320425880489814,13.298413202408154,8.0,-17.271451320995943,-6.119249271891865,23.390700592887807,-19.60311548796414,19.59472198702606,-16.757716648290963,49.02746608139871,-3.534864841162509,-1.0,0.0,1.0,-48.0,0.0,48.0
0.269,24.92,23.40511659665625,-2.5141059351754835,10.05226467918369,0.7864813031133865,13.35285191747256,8.0,-19.235026512031784,-7.1338543869046305,26.368880898936414,-18.56975334832426,18.430620263343368,-15.077962039816322,46.11230439624453,-3.727435675123548,-1.0,0.0,1.0,-48.0,0.0,48.0
0.2695,24.96,23.483467917436776,-2.4917814422670146,10.074589172092157,0.8425081309854464,13.40887874534462,8.0,-21.16348632782308,-7.794499257821087,28.957985585644167,-17.46589831001929,17.264825111435893,-13.466477513898962,43.19158270484274,-3.586194773774217,-1.0,0.0,1.0,-48.0,0.0,48.0
0.27,25.0,23.561944901923447,-2.470902197527637,10.095468416831535,0.9001058707327387,13.466476485091912,8.0,-23.0681736905102,-8.128955088661034,31.197128779171234,-16.34693253668185,16.12847354183383,-11.964297654016026,40.34341328444594,-3.1545544194381767,-1.0,0.0,1.0,-48.0,0.0,48.0
0.2705,25.0,23.640484718263195,-2.4514147244108395,10.114955889948334,0.9591582139556887,13.525528828314862,8.0,-24.95427288550512,-8.171160280717338,33.12543316622246,-15.257516298956977,15.048146365219582,-10.597584411223572,37.634687880075376,-2.478303129104874,-1.0,0.0,1.0,-48.0,0.0,48.0
0.271,25.0,23.719024534602937,-2.43323496373232,10.133135650626853,1.0195182696169112,13.585888883976084,8.0,-26.821877625912524,-7.9589060132113865,34.78078363912391,-14.23219190455005,14.04584190757175,-9.379660337268502,35.1208690378784,-1.6026756839287195,-1.0,0.0,1.0,-48.0,0.0,48.0
0.2715,25.0,23.797564350942682,-2.4162539073024267,10.150116707056746,1.0810770295267633,13.647447643885936,8.0,-28.667007459481784,-7.531881465262766,36.19888892474455,-13.29668019945697,13.13918249162815,-8.313722169758911,32.846396985806486,-0.5703590562948762,-1.0,0.0,1.0,-48.0,0.0,48.0
0.272,25.0,23.876104167282428,-2.4003429219329027,10.166027692426269,1.1437058604969859,13.710076474856159,8.0,-30.48253613136723,-6.93011869755188,37.41265482891911,-12.469381511874003,12.34175523872047,-7.395592176486691,30.84548599589872,0.5796571459130977,-1.0,0.0,1.0,-48.0,0.0,48.0
0.2725,25.0,23.954643983622173,-2.38535861800043,10.181011996358743,1.2072613729042572,13.77363198726343,8.0,-32.259016944592986,-6.192814128774073,38.45183107336706,-11.76279882162619,11.663514648286023,-6.61612097189424,29.14312289637784,1.812584821921595,-1.0,0.0,1.0,-48.0,0.0,48.0
0.273,25.0,24.03318379996192,-2.3711471973039226,10.19522341705525,1.271589768547496,13.837960382906669,8.0,-33.98540168965832,-5.357471811234252,39.34287350089257,-11.184757470029462,11.111199929586808,-5.963076183384314,27.756133401008753,3.0979092731413758,-1.0,0.0,1.0,-48.0,0.0,48.0
