time_s,command_frequency_Hz,command_electrical_angle_rad,mechanical_angle_raw_rad,rotor_angle_unwrapped_rad,phase_error_rad,phase_error_unwrapped_rad,load_torque_Nm,ia_A,ib_A,ic_A,ea_V,eb_V,ec_V,speed_rad_s,torque_Nm,cmd_a,cmd_b,cmd_c,vab_V,vbc_V,vca_V
0.2725,80.0,108.07078728348888,3.0432647658455325,3.0432647658455325,-1.7866277044096222,105.02752251764335,0.0,16.942236499901522,-19.10812215038126,2.1658856504797357,-1.1666112173597987,-6.707573842806707,6.755120737888203,-16.858085051928565,-7.2982759232478776,1.0,0.0,-1.0,0.0,48.0,-48.0
0.273,80.0,108.32211469577605,3.034485406932674,3.034485406932674,-1.5265209332095935,105.28762928884338,0.0,18.693712017324955,-14.003607863426852,-4.690104153898103,-1.366560638146488,-7.181594592948652,7.234026818901332,-18.05007476114539,-2.276655626144906,1.0,0.0,-1.0,0.0,48.0,-48.0
0.2735,80.0,108.57344210806323,3.025418719984326,3.025418719984326,-1.2661268339740672,105.5480233880789,0.0,20.34805731925045,-9.206722495231483,-11.141334824018967,-1.486670355805524,-7.169219922921487,7.222397479642309,-18.01837651100433,2.481521229322547,1.0,0.0,-1.0,0.0,48.0,-48.0
0.274,80.0,108.82476952035042,3.0166588902817066,3.0166588902817066,-1.006039591984259,105.80811063006871,0.0,21.90087748885473,-4.7724593887707165,-17.128418100084012,-1.5010275231699683,-6.699450837778,6.749207945720621,-16.835971320217205,6.91995823494857,1.0,0.0,-1.0,0.0,48.0,-48.0
0.2745,80.0,109.07609693263761,3.0087569249841013,3.0087569249841013,-0.746810214399457,106.06734000765351,0.0,19.673845010994913,1.090782580816066,-20.764627591810978,-1.3919978277156442,-5.818078761174696,5.860820840835882,-14.618772475152447,10.632217642834965,0.0,1.0,-1.0,-48.0,48.0,0.0
0.275,80.0,109.3274243449248,3.0021790673495135,3.0021790673495135,-0.48890494447769284,106.32524527757528,0.0,15.799885689222041,7.283638744868235,-23.083524434090275,-1.159985220591813,-4.602812693940154,4.6360162088410135,-11.563196906998094,13.73914614365546,0.0,1.0,-1.0,-48.0,48.0,0.0
0.2755,80.0,109.57875175721198,2.9973139965580606,2.9973139965580606,-0.2327124613990576,106.58143776065391,0.0,12.147967136962079,12.851376805597239,-24.999343942559317,-0.8106493545032987,-3.099778724132843,3.1217159363119795,-7.786036608021399,16.404368862991987,0.0,1.0,-1.0,-48.0,48.0,0.0
0.276,80.0,109.83007916949914,2.9944948842348897,2.9944948842348897,0.021434063211276666,106.83558428526425,0.0,8.690912518112267,17.79620796072065,-26.487120478832917,-0.36127162730634904,-1.352832688482448,1.3622792025499348,-3.397700924750514,18.62963419503628,0.0,1.0,-1.0,-48.0,48.0,0.0
0.2765,80.0,110.08140658178635,2.9939904987843633,2.9939904987843633,0.2732658609490131,107.08741608300198,0.0,4.021562404584053,20.742884799811563,-24.764447204395616,0.14720539936898772,0.5491929979409842,-0.5530179836241509,1.3792966582452773,18.61747963648169,-1.0,1.0,0.0,-48.0,0.0,48.0
0.277,80.0,110.33273399407352,2.9958022145726297,2.9958022145726297,0.5227815574479168,107.33693177950089,0.0,-1.7341207915140373,21.87024852162317,-20.136127730109134,0.6089975958721473,2.302607469111892,-2.3187898465863666,5.783385350112685,16.59823181806686,-1.0,1.0,0.0,-48.0,0.0,48.0
0.2775,80.0,110.5840614063607,2.9996879781012358,2.9996879781012358,0.770223206206498,107.58437342825947,0.0,-7.158301536499884,22.665626060274697,-15.507324523774813,0.9891057469654357,3.850528351996848,-3.8780513290130707,9.672549941324986,14.508327163232135,-1.0,1.0,0.0,-48.0,0.0,48.0
0.278,80.0,110.83538881864789,3.0053871430701466,3.0053871430701466,1.0158514535247634,107.83000167557773,0.0,-12.262748230010189,23.18137951402183,-10.918631284011642,1.2752941010506746,5.188764817528036,-5.226569813237568,13.036420198756232,12.404563689197058,-1.0,1.0,0.0,-48.0,0.0,48.0
0.2785,80.0,111.08671623093508,3.0126348480970915,3.0126348480970915,1.2599311607850183,108.07408138283799,0.0,-16.129183571341166,21.60982188674465,-5.4806383154034854,1.4605374253445744,6.301510888690025,-6.348121102751147,15.834797043131381,9.309181988301983,-1.0,0.0,1.0,0.0,-48.0,48.0
0.279,80.0,111.33804364322226,3.0210295448484117,3.0210295448484117,1.5028638763208761,108.31701409837385,0.0,-17.959454934426464,16.404492873720972,1.554962060705492,1.5052656573682344,6.978323983000753,-7.030208761255623,17.537849536389267,4.362587742041244,-1.0,0.0,1.0,0.0,-48.0,48.0
0.2795,80.0,111.58937105550945,3.029972750766711,3.029972750766711,1.7452480826897585,108.55939830474273,0.0,-19.666707193193457,11.467812101202094,8.198895091991362,1.4267862734210075,7.178259925988522,-7.231179961159427,18.041560882393522,-0.2787418310118266,-1.0,0.0,1.0,0.0,-48.0,48.0
